Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
49.5,13.5,2997,0.441,0,0,3,2,(2 + ω)⁴ (7 + 3ω),0,63 + 27ω,36 + 63ω,-27 + 36ω,-63 - 27ω,-36 - 63ω,27 - 36ω
50.0,13.0,3007,0.423,0,1,0,2,(6 + ω) (3 - 8ω),0,63 + 26ω,37 + 63ω,-26 + 37ω,-63 - 26ω,-37 - 63ω,26 - 37ω
49.5,12.5,2919,0.412,0,0,0,3,(2 + ω) (2 - ω) (13 + 3ω),0,62 + 25ω,37 + 62ω,-25 + 37ω,-62 - 25ω,-37 - 62ω,25 - 37ω
50.0,12.0,2932,0.394,0,0,0,2,(2) (31 + 12ω),0,62 + 24ω,38 + 62ω,-24 + 38ω,-62 - 24ω,-38 - 62ω,24 - 38ω
41.5,19.5,2863,0.683,0,0,0,2,(3 + ω) (23 + 8ω),0,61 + 39ω,22 + 61ω,-39 + 22ω,-61 - 39ω,-22 - 61ω,39 - 22ω
42.0,19.0,2847,0.665,0,0,0,3,(2 + ω) (4 + ω) (8 - ω),0,61 + 38ω,23 + 61ω,-38 + 23ω,-61 - 38ω,-23 - 61ω,38 - 23ω
42.5,18.5,2833,0.646,1,0,0,1,'(61 + 37ω),0,61 + 37ω,24 + 61ω,-37 + 24ω,-61 - 37ω,-24 - 61ω,37 - 24ω
44.0,18.0,2908,0.616,0,0,0,2,(2) (31 + 18ω),0,62 + 36ω,26 + 62ω,-36 + 26ω,-62 - 36ω,-26 - 62ω,36 - 26ω
43.0,18.0,2821,0.627,0,1,0,3,(2 - ω) (3 - ω) (6 + ω),0,61 + 36ω,25 + 61ω,-36 + 25ω,-61 - 36ω,-25 - 61ω,36 - 25ω
44.5,17.5,2899,0.598,0,0,0,2,(4 + ω) (17 + 6ω),0,62 + 35ω,27 + 62ω,-35 + 27ω,-62 - 35ω,-27 - 62ω,35 - 27ω
43.5,17.5,2811,0.609,0,0,0,2,(2 + ω) (32 + 3ω),0,61 + 35ω,26 + 61ω,-35 + 26ω,-61 - 35ω,-26 - 61ω,35 - 26ω
45.0,17.0,2892,0.579,0,0,0,3,(2 + ω) (2) (16 + ω),0,62 + 34ω,28 + 62ω,-34 + 28ω,-62 - 34ω,-28 - 62ω,34 - 28ω
