Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,7364,2.636,0,0,0,3,(2) (1.5 + 0.5√-19) (5.5 + 3.5√-19),1,-50 + 16√-19,50 - 16√-19
50.0,16.0,7364,0.506,0,1,0,3,(2) (1.5 - 0.5√-19) (5.5 - 3.5√-19),0,50 + 16√-19,-50 - 16√-19
-49.0,16.0,7265,2.627,0,0,0,2,(0.5 + 0.5√-19) (25.5 + 6.5√-19),1,-49 + 16√-19,49 - 16√-19
49.0,16.0,7265,0.515,0,1,0,2,(0.5 - 0.5√-19) (25.5 - 6.5√-19),0,49 + 16√-19,-49 - 16√-19
-48.0,16.0,7168,2.618,0,1,4,2,(2)⁵ (1.5 - 0.5√-19),1,-48 + 16√-19,48 - 16√-19
48.0,16.0,7168,0.524,0,0,4,2,(2)⁵ (1.5 + 0.5√-19),0,48 + 16√-19,-48 - 16√-19
-47.0,16.0,7073,2.609,0,1,0,2,(2.5 - 0.5√-19) (24.5 - 1.5√-19),1,-47 + 16√-19,47 - 16√-19
47.0,16.0,7073,0.533,0,0,0,2,(2.5 + 0.5√-19) (24.5 + 1.5√-19),0,47 + 16√-19,-47 - 16√-19
-46.0,16.0,6980,2.6,0,1,0,3,(2) (0.5 - 0.5√-19) (17.5 + 1.5√-19),1,-46 + 16√-19,46 - 16√-19
46.0,16.0,6980,0.542,0,0,0,3,(2) (0.5 + 0.5√-19) (17.5 - 1.5√-19),0,46 + 16√-19,-46 - 16√-19
-45.0,16.0,6889,2.59,0,1,1,1,(8 - √-19)²,1,-45 + 16√-19,45 - 16√-19
45.0,16.0,6889,0.552,0,0,1,1,(8 + √-19)²,0,45 + 16√-19,-45 - 16√-19
-49.5,15.5,7015,2.645,0,0,0,3,(0.5 + 0.5√-19) (2 + √-19) (7.5 - 0.5√-19),1,-49.5 + 15.5√-19,49.5 - 15.5√-19
49.5,15.5,7015,0.497,0,1,0,3,(0.5 - 0.5√-19) (2 - √-19) (7.5 + 0.5√-19),0,49.5 + 15.5√-19,-49.5 - 15.5√-19
-48.5,15.5,6917,2.636,1,0,0,1,'(48.5 - 15.5√-19),1,-48.5 + 15.5√-19,48.5 - 15.5√-19
48.5,15.5,6917,0.506,1,0,0,1,'(48.5 + 15.5√-19),0,48.5 + 15.5√-19,-48.5 - 15.5√-19
-44.0,16.0,6800,2.58,0,0,2,3,(2)² (0.5 + 0.5√-19)² (3.5 - 0.5√-19),1,-44 + 16√-19,44 - 16√-19
44.0,16.0,6800,0.562,0,1,2,3,(2)² (0.5 - 0.5√-19)² (3.5 + 0.5√-19),0,44 + 16√-19,-44 - 16√-19
-47.5,15.5,6821,2.628,0,0,0,2,(√-19) (15.5 + 2.5√-19),1,-47.5 + 15.5√-19,47.5 - 15.5√-19
47.5,15.5,6821,0.514,0,0,0,2,(√-19) (15.5 - 2.5√-19),0,47.5 + 15.5√-19,-47.5 - 15.5√-19
-46.5,15.5,6727,2.618,0,1,0,2,(1.5 - 0.5√-19) (31),1,-46.5 + 15.5√-19,46.5 - 15.5√-19
46.5,15.5,6727,0.524,0,0,0,2,(1.5 + 0.5√-19) (31),0,46.5 + 15.5√-19,-46.5 - 15.5√-19
-50.0,15.0,6775,2.663,0,1,1,3,(0.5 + 0.5√-19) (0.5 - 0.5√-19) (10 - 3√-19),1,-50 + 15√-19,50 - 15√-19
50.0,15.0,6775,0.479,0,0,1,3,(0.5 + 0.5√-19) (0.5 - 0.5√-19) (10 + 3√-19),0,50 + 15√-19,-50 - 15√-19
-43.0,16.0,6713,2.57,0,0,1,2,(1.5 + 0.5√-19)² (11.5 + 0.5√-19),1,-43 + 16√-19,43 - 16√-19
43.0,16.0,6713,0.572,0,1,1,2,(1.5 - 0.5√-19)² (11.5 - 0.5√-19),0,43 + 16√-19,-43 - 16√-19
-42.0,16.0,6628,2.559,0,1,0,2,(2) (21 - 8√-19),1,-42 + 16√-19,42 - 16√-19
42.0,16.0,6628,0.583,0,0,0,2,(2) (21 + 8√-19),0,42 + 16√-19,-42 - 16√-19
-45.5,15.5,6635,2.609,0,1,0,2,(0.5 - 0.5√-19) (34 + 3√-19),1,-45.5 + 15.5√-19,45.5 - 15.5√-19
