Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-16.5,7.5,-9,2.475,1,25,0,1,(1.5 + 1.5√5),2,-16.5 + 7.5√5,16.5 - 7.5√5,1.5 + 1.5√5
27.0,12.0,9,0.656,1,18,0,1,(1.5 + 1.5√5),2,27 + 12√5,-27 - 12√5,1.5 + 1.5√5
-27.0,12.0,9,2.486,1,29,0,1,(1.5 + 1.5√5),2,-27 + 12√5,27 - 12√5,1.5 + 1.5√5
0.5,1.5,-11,1.381,1,0,0,0,'(0.5 + 1.5√5),2,0.5 + 1.5√5,-0.5 - 1.5√5,0.5 + 1.5√5
-0.5,1.5,-11,1.761,1,1,0,0,'(0.5 - 1.5√5),2,-0.5 + 1.5√5,0.5 - 1.5√5,0.5 - 1.5√5
3.5,0.5,11,0.243,1,0,0,1,(0.5 - 1.5√5),2,3.5 + 0.5√5,-3.5 - 0.5√5,0.5 - 1.5√5
-3.5,0.5,11,2.899,1,3,0,1,(0.5 + 1.5√5),2,-3.5 + 0.5√5,3.5 - 0.5√5,0.5 + 1.5√5
3.0,2.0,-11,0.857,1,6,0,1,(0.5 - 1.5√5),2,3 + 2√5,-3 - 2√5,0.5 - 1.5√5
-3.0,2.0,-11,2.285,1,9,0,1,(0.5 + 1.5√5),2,-3 + 2√5,3 - 2√5,0.5 + 1.5√5
4.0,1.0,11,0.409,1,0,0,1,(0.5 + 1.5√5),2,4 + √5,-4 - √5,0.5 + 1.5√5
-4.0,1.0,11,2.733,1,3,0,1,(0.5 - 1.5√5),2,-4 + √5,4 - √5,0.5 - 1.5√5
4.5,2.5,-11,0.766,1,6,0,1,(0.5 + 1.5√5),2,4.5 + 2.5√5,-4.5 - 2.5√5,0.5 + 1.5√5
-4.5,2.5,-11,2.375,1,9,0,1,(0.5 - 1.5√5),2,-4.5 + 2.5√5,4.5 - 2.5√5,0.5 - 1.5√5
6.5,2.5,11,0.588,1,10,0,1,(0.5 - 1.5√5),2,6.5 + 2.5√5,-6.5 - 2.5√5,0.5 - 1.5√5
-6.5,2.5,11,2.554,1,13,0,1,(0.5 + 1.5√5),2,-6.5 + 2.5√5,6.5 - 2.5√5,0.5 + 1.5√5
8.5,3.5,11,0.62,1,10,0,1,(0.5 + 1.5√5),2,8.5 + 3.5√5,-8.5 - 3.5√5,0.5 + 1.5√5
-8.5,3.5,11,2.522,1,13,0,1,(0.5 - 1.5√5),2,-8.5 + 3.5√5,8.5 - 3.5√5,0.5 - 1.5√5
9.5,4.5,-11,0.687,1,14,0,1,(0.5 - 1.5√5),2,9.5 + 4.5√5,-9.5 - 4.5√5,0.5 - 1.5√5
-9.5,4.5,-11,2.455,1,17,0,1,(0.5 + 1.5√5),2,-9.5 + 4.5√5,9.5 - 4.5√5,0.5 + 1.5√5
13.0,6.0,-11,0.674,1,14,0,1,(0.5 + 1.5√5),2,13 + 6√5,-13 - 6√5,0.5 + 1.5√5
-13.0,6.0,-11,2.467,1,17,0,1,(0.5 - 1.5√5),2,-13 + 6√5,13 - 6√5,0.5 - 1.5√5
16.0,7.0,11,0.648,1,18,0,1,(0.5 - 1.5√5),2,16 + 7√5,-16 - 7√5,0.5 - 1.5√5
-16.0,7.0,11,2.493,1,21,0,1,(0.5 + 1.5√5),2,-16 + 7√5,16 - 7√5,0.5 + 1.5√5
21.5,9.5,11,0.653,1,18,0,1,(0.5 + 1.5√5),2,21.5 + 9.5√5,-21.5 - 9.5√5,0.5 + 1.5√5
-21.5,9.5,11,2.488,1,21,0,1,(0.5 - 1.5√5),2,-21.5 + 9.5√5,21.5 - 9.5√5,0.5 - 1.5√5
25.5,11.5,-11,0.663,1,22,0,1,(0.5 - 1.5√5),2,25.5 + 11.5√5,-25.5 - 11.5√5,0.5 - 1.5√5
-25.5,11.5,-11,2.478,1,25,0,1,(0.5 + 1.5√5),2,-25.5 + 11.5√5,25.5 - 11.5√5,0.5 + 1.5√5
34.5,15.5,-11,0.661,1,22,0,1,(0.5 + 1.5√5),2,34.5 + 15.5√5,-34.5 - 15.5√5,0.5 + 1.5√5
-34.5,15.5,-11,2.48,1,25,0,1,(0.5 - 1.5√5),2,-34.5 + 15.5√5,34.5 - 15.5√5,0.5 - 1.5√5
2.0,2.0,-16,1.047,0,2,1,1,(1 + √5)²,0,2 + 2√5,-2 - 2√5
-2.0,2.0,-16,2.094,0,12,1,1,(1 + √5)²,1,-2 + 2√5,2 - 2√5
4,0,16,0.0,0,9,1,1,(1 + √5)²,0,4,-4
6.0,2.0,16,0.524,0,4,1,1,(1 + √5)²,0,6 + 2√5,-6 - 2√5
-6.0,2.0,16,2.618,0,16,1,1,(1 + √5)²,1,-6 + 2√5,6 - 2√5
8.0,4.0,-16,0.714,0,0,1,1,(1 + √5)²,0,8 + 4√5,-8 - 4√5
-8.0,4.0,-16,2.428,0,20,1,1,(1 + √5)²,1,-8 + 4√5,8 - 4√5
14.0,6.0,16,0.639,0,6,1,1,(1 + √5)²,0,14 + 6√5,-14 - 6√5
-14.0,6.0,16,2.503,0,24,1,1,(1 + √5)²,1,-14 + 6√5,14 - 6√5
22.0,10.0,-16,0.667,0,10,1,1,(1 + √5)²,0,22 + 10√5,-22 - 10√5
-22.0,10.0,-16,2.475,0,28,1,1,(1 + √5)²,1,-22 + 10√5,22 - 10√5
36.0,16.0,16,0.656,0,14,1,1,(1 + √5)²,0,36 + 16√5,-36 - 16√5
-36.0,16.0,16,2.486,0,32,1,1,(1 + √5)²,1,-36 + 16√5,36 - 16√5
1.0,2.0,-19,1.29,1,0,0,0,'(1 + 2√5),2,1 + 2√5,-1 - 2√5,1 + 2√5
-1.0,2.0,-19,1.852,1,1,0,0,'(1 - 2√5),2,-1 + 2√5,1 - 2√5,1 - 2√5
3.5,2.5,-19,0.891,1,6,0,1,(1 - 2√5),2,3.5 + 2.5√5,-3.5 - 2.5√5,1 - 2√5
-3.5,2.5,-19,2.251,1,9,0,1,(1 + 2√5),2,-3.5 + 2.5√5,3.5 - 2.5√5,1 + 2√5
4.5,0.5,19,0.19,1,0,0,1,(1 - 2√5),2,4.5 + 0.5√5,-4.5 - 0.5√5,1 - 2√5
-4.5,0.5,19,2.951,1,3,0,1,(1 + 2√5),2,-4.5 + 0.5√5,4.5 - 0.5√5,1 + 2√5
5.5,1.5,19,0.441,1,0,0,1,(1 + 2√5),2,5.5 + 1.5√5,-5.5 - 1.5√5,1 + 2√5
-5.5,1.5,19,2.7,1,3,0,1,(1 - 2√5),2,-5.5 + 1.5√5,5.5 - 1.5√5,1 - 2√5
6.5,3.5,-19,0.751,1,6,0,1,(1 + 2√5),2,6.5 + 3.5√5,-6.5 - 3.5√5,1 + 2√5
