Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
1,0,1,0.0,0,0,0,0,,0,1,-1
3.5,0.5,-1,0.243,0,2,0,0,,2,3.5 + 0.5√53,-3.5 - 0.5√53
-3.5,0.5,-1,2.899,0,4,0,0,,2,-3.5 + 0.5√53,3.5 - 0.5√53
25.5,3.5,1,0.233,0,6,0,0,,2,25.5 + 3.5√53,-25.5 - 3.5√53
-25.5,3.5,1,2.908,0,8,0,0,,2,-25.5 + 3.5√53,25.5 - 3.5√53
2,0,4,0.0,1,0,0,0,'(2),2,2,-2,2
7.0,1.0,-4,0.243,1,2,0,1,(2),2,7 + √53,-7 - √53,2
-7.0,1.0,-4,2.899,1,4,0,1,(2),2,-7 + √53,7 - √53,2
2.5,0.5,-7,0.333,1,0,0,0,'(2.5 + 0.5√53),2,2.5 + 0.5√53,-2.5 - 0.5√53,2.5 + 0.5√53
-2.5,0.5,-7,2.808,1,1,0,0,'(2.5 - 0.5√53),2,-2.5 + 0.5√53,2.5 - 0.5√53,2.5 - 0.5√53
4.5,0.5,7,0.19,1,2,0,1,(2.5 - 0.5√53),2,4.5 + 0.5√53,-4.5 - 0.5√53,2.5 - 0.5√53
-4.5,0.5,7,2.951,1,5,0,1,(2.5 + 0.5√53),2,-4.5 + 0.5√53,4.5 - 0.5√53,2.5 + 0.5√53
22.0,3.0,7,0.232,1,2,0,1,(2.5 + 0.5√53),2,22 + 3√53,-22 - 3√53,2.5 + 0.5√53
-22.0,3.0,7,2.91,1,5,0,1,(2.5 - 0.5√53),2,-22 + 3√53,22 - 3√53,2.5 - 0.5√53
29.0,4.0,-7,0.235,1,6,0,1,(2.5 - 0.5√53),2,29 + 4√53,-29 - 4√53,2.5 - 0.5√53
-29.0,4.0,-7,2.907,1,9,0,1,(2.5 + 0.5√53),2,-29 + 4√53,29 - 4√53,2.5 + 0.5√53
3,0,9,0.0,1,0,0,0,'(3),2,3,-3,3
10.5,1.5,-9,0.243,1,2,0,1,(3),2,10.5 + 1.5√53,-10.5 - 1.5√53,3
-10.5,1.5,-9,2.899,1,4,0,1,(3),2,-10.5 + 1.5√53,10.5 - 1.5√53,3
1.5,0.5,-11,0.524,1,0,0,0,'(1.5 + 0.5√53),2,1.5 + 0.5√53,-1.5 - 0.5√53,1.5 + 0.5√53
-1.5,0.5,-11,2.618,1,1,0,0,'(1.5 - 0.5√53),2,-1.5 + 0.5√53,1.5 - 0.5√53,1.5 - 0.5√53
8.0,1.0,11,0.213,1,2,0,1,(1.5 - 0.5√53),2,8 + √53,-8 - √53,1.5 - 0.5√53
-8.0,1.0,11,2.928,1,5,0,1,(1.5 + 0.5√53),2,-8 + √53,8 - √53,1.5 + 0.5√53
18.5,2.5,11,0.23,1,2,0,1,(1.5 + 0.5√53),2,18.5 + 2.5√53,-18.5 - 2.5√53,1.5 + 0.5√53
-18.5,2.5,11,2.912,1,5,0,1,(1.5 - 0.5√53),2,-18.5 + 2.5√53,18.5 - 2.5√53,1.5 - 0.5√53
0.5,0.5,-13,1.047,1,0,0,0,'(0.5 + 0.5√53),2,0.5 + 0.5√53,-0.5 - 0.5√53,0.5 + 0.5√53
-0.5,0.5,-13,2.094,1,1,0,0,'(0.5 - 0.5√53),2,-0.5 + 0.5√53,0.5 - 0.5√53,0.5 - 0.5√53
11.5,1.5,13,0.222,1,2,0,1,(0.5 - 0.5√53),2,11.5 + 1.5√53,-11.5 - 1.5√53,0.5 - 0.5√53
-11.5,1.5,13,2.919,1,5,0,1,(0.5 + 0.5√53),2,-11.5 + 1.5√53,11.5 - 1.5√53,0.5 + 0.5√53
15.0,2.0,13,0.227,1,2,0,1,(0.5 + 0.5√53),2,15 + 2√53,-15 - 2√53,0.5 + 0.5√53
-15.0,2.0,13,2.915,1,5,0,1,(0.5 - 0.5√53),2,-15 + 2√53,15 - 2√53,0.5 - 0.5√53
4,0,16,0.0,0,0,1,1,(2)²,0,4,-4
14.0,2.0,-16,0.243,0,2,1,1,(2)²,0,14 + 2√53,-14 - 2√53
-14.0,2.0,-16,2.899,0,4,1,1,(2)²,1,-14 + 2√53,14 - 2√53
5.5,0.5,17,0.156,1,0,0,0,'(5.5 + 0.5√53),2,5.5 + 0.5√53,-5.5 - 0.5√53,5.5 + 0.5√53
-5.5,0.5,17,2.985,1,1,0,0,'(5.5 - 0.5√53),2,-5.5 + 0.5√53,5.5 - 0.5√53,5.5 - 0.5√53
6.0,1.0,-17,0.281,1,3,0,1,(5.5 - 0.5√53),2,6 + √53,-6 - √53,5.5 - 0.5√53
-6.0,1.0,-17,2.861,1,4,0,1,(5.5 + 0.5√53),2,-6 + √53,6 - √53,5.5 + 0.5√53
32.5,4.5,-17,0.235,1,2,0,1,(5.5 + 0.5√53),2,32.5 + 4.5√53,-32.5 - 4.5√53,5.5 + 0.5√53
-32.5,4.5,-17,2.906,1,5,0,1,(5.5 - 0.5√53),2,-32.5 + 4.5√53,32.5 - 4.5√53,5.5 - 0.5√53
47.5,6.5,17,0.233,1,7,0,1,(5.5 - 0.5√53),2,47.5 + 6.5√53,-47.5 - 6.5√53,5.5 - 0.5√53
-47.5,6.5,17,2.909,1,8,0,1,(5.5 + 0.5√53),2,-47.5 + 6.5√53,47.5 - 6.5√53,5.5 + 0.5√53
5,0,25,0.0,1,0,0,0,'(5),2,5,-5,5
17.5,2.5,-25,0.243,1,2,0,1,(5),2,17.5 + 2.5√53,-17.5 - 2.5√53,5
-17.5,2.5,-25,2.899,1,4,0,1,(5),2,-17.5 + 2.5√53,17.5 - 2.5√53,5
5.0,1.0,-28,0.333,0,0,0,2,(2) (2.5 + 0.5√53),0,5 + √53,-5 - √53
