Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
1,0,1,0.0,0,0,0,0,,0,1,-1
4.5,0.5,1,0.19,0,2,0,0,,2,4.5 + 0.5√77,-4.5 - 0.5√77
-4.5,0.5,1,2.951,0,4,0,0,,2,-4.5 + 0.5√77,4.5 - 0.5√77
39.5,4.5,1,0.195,0,6,0,0,,2,39.5 + 4.5√77,-39.5 - 4.5√77
-39.5,4.5,1,2.947,0,8,0,0,,2,-39.5 + 4.5√77,39.5 - 4.5√77
2,0,4,0.0,1,0,0,0,'(2),2,2,-2,2
9.0,1.0,4,0.19,1,2,0,1,(2),2,9 + √77,-9 - √77,2
-9.0,1.0,4,2.951,1,4,0,1,(2),2,-9 + √77,9 - √77,2
3.5,0.5,-7,0.243,1,0,0,0,'(3.5 + 0.5√77),2,3.5 + 0.5√77,-3.5 - 0.5√77,3.5 + 0.5√77
-3.5,0.5,-7,2.899,1,5,0,1,(3.5 + 0.5√77),2,-3.5 + 0.5√77,3.5 - 0.5√77,3.5 + 0.5√77
35.0,4.0,-7,0.195,1,2,0,1,(3.5 + 0.5√77),2,35 + 4√77,-35 - 4√77,3.5 + 0.5√77
-35.0,4.0,-7,2.946,1,9,0,1,(3.5 + 0.5√77),2,-35 + 4√77,35 - 4√77,3.5 + 0.5√77
3,0,9,0.0,1,0,0,0,'(3),2,3,-3,3
13.5,1.5,9,0.19,1,2,0,1,(3),2,13.5 + 1.5√77,-13.5 - 1.5√77,3
-13.5,1.5,9,2.951,1,4,0,1,(3),2,-13.5 + 1.5√77,13.5 - 1.5√77,3
5.5,0.5,11,0.156,1,0,0,0,'(5.5 + 0.5√77),2,5.5 + 0.5√77,-5.5 - 0.5√77,5.5 + 0.5√77
-5.5,0.5,11,2.985,1,4,0,1,(5.5 + 0.5√77),2,-5.5 + 0.5√77,5.5 - 0.5√77,5.5 + 0.5√77
