Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-48.5,14.5,3824,2.664,0,0,3,2,(0.5 - 0.5√-7)⁴ (8 + 5√-7),1,-48.5 + 14.5√-7,48.5 - 14.5√-7
48.5,14.5,3824,0.478,0,1,3,2,(0.5 + 0.5√-7)⁴ (8 - 5√-7),0,48.5 + 14.5√-7,-48.5 - 14.5√-7
-47.5,14.5,3728,2.656,0,1,3,2,(0.5 + 0.5√-7)⁴ (11 + 4√-7),1,-47.5 + 14.5√-7,47.5 - 14.5√-7
47.5,14.5,3728,0.486,0,0,3,2,(0.5 - 0.5√-7)⁴ (11 - 4√-7),0,47.5 + 14.5√-7,-47.5 - 14.5√-7
-49.0,14.0,3773,2.682,0,1,2,2,(√-7)³ (2 + √-7),1,-49 + 14√-7,49 - 14√-7
49.0,14.0,3773,0.46,0,1,2,2,(√-7)³ (2 - √-7),0,49 + 14√-7,-49 - 14√-7
-49.5,13.5,3726,2.701,0,1,1,3,(0.5 - 0.5√-7) (3)² (4 + √-7),1,-49.5 + 13.5√-7,49.5 - 13.5√-7
49.5,13.5,3726,0.441,0,0,1,3,(0.5 + 0.5√-7) (3)² (4 - √-7),0,49.5 + 13.5√-7,-49.5 - 13.5√-7
-43.0,16.0,3641,2.57,0,1,0,2,(2 - √-7) (18 + √-7),1,-43 + 16√-7,43 - 16√-7
43.0,16.0,3641,0.572,0,0,0,2,(2 + √-7) (18 - √-7),0,43 + 16√-7,-43 - 16√-7
-44.5,15.5,3662,2.599,0,0,0,2,(0.5 + 0.5√-7) (16 + 15√-7),1,-44.5 + 15.5√-7,44.5 - 15.5√-7
44.5,15.5,3662,0.543,0,1,0,2,(0.5 - 0.5√-7) (16 - 15√-7),0,44.5 + 15.5√-7,-44.5 - 15.5√-7
-46.0,15.0,3691,2.628,1,0,0,1,'(46 - 15√-7),1,-46 + 15√-7,46 - 15√-7
46.0,15.0,3691,0.514,1,0,0,1,'(46 + 15√-7),0,46 + 15√-7,-46 - 15√-7
-45.0,15.0,3600,2.618,0,0,3,4,(0.5 + 0.5√-7)³ (0.5 - 0.5√-7) (3) (5),1,-45 + 15√-7,45 - 15√-7
45.0,15.0,3600,0.524,0,1,3,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7)³ (3) (5),0,45 + 15√-7,-45 - 15√-7
-46.5,14.5,3634,2.647,0,1,0,3,(0.5 - 0.5√-7) (4 - √-7) (4 + 3√-7),1,-46.5 + 14.5√-7,46.5 - 14.5√-7
46.5,14.5,3634,0.495,0,0,0,3,(0.5 + 0.5√-7) (4 + √-7) (4 - 3√-7),0,46.5 + 14.5√-7,-46.5 - 14.5√-7
-48.0,14.0,3676,2.674,0,1,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (24 - 7√-7),1,-48 + 14√-7,48 - 14√-7
48.0,14.0,3676,0.468,0,0,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (24 + 7√-7),0,48 + 14√-7,-48 - 14√-7
-48.5,13.5,3628,2.693,0,0,1,2,(0.5 + 0.5√-7)² (30 + √-7),1,-48.5 + 13.5√-7,48.5 - 13.5√-7
48.5,13.5,3628,0.449,0,1,1,2,(0.5 - 0.5√-7)² (30 - √-7),0,48.5 + 13.5√-7,-48.5 - 13.5√-7
-50.0,13.0,3683,2.719,0,1,0,2,(1 - 2√-7) (8 + 3√-7),1,-50 + 13√-7,50 - 13√-7
50.0,13.0,3683,0.423,0,0,0,2,(1 + 2√-7) (8 - 3√-7),0,50 + 13√-7,-50 - 13√-7
-42.0,16.0,3556,2.559,0,0,1,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (√-7) (8 + 3√-7),1,-42 + 16√-7,42 - 16√-7
42.0,16.0,3556,0.583,0,0,1,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (√-7) (8 - 3√-7),0,42 + 16√-7,-42 - 16√-7
-43.5,15.5,3574,2.589,0,1,0,2,(0.5 - 0.5√-7) (38 + 7√-7),1,-43.5 + 15.5√-7,43.5 - 15.5√-7
43.5,15.5,3574,0.553,0,0,0,2,(0.5 + 0.5√-7) (38 - 7√-7),0,43.5 + 15.5√-7,-43.5 - 15.5√-7
-42.5,15.5,3488,2.579,0,1,4,2,(0.5 + 0.5√-7)⁵ (9 - 2√-7),1,-42.5 + 15.5√-7,42.5 - 15.5√-7
42.5,15.5,3488,0.563,0,0,4,2,(0.5 - 0.5√-7)⁵ (9 + 2√-7),0,42.5 + 15.5√-7,-42.5 - 15.5√-7
-44.0,15.0,3511,2.609,1,0,0,1,'(44 - 15√-7),1,-44 + 15√-7,44 - 15√-7
44.0,15.0,3511,0.533,1,0,0,1,'(44 + 15√-7),0,44 + 15√-7,-44 - 15√-7
-45.5,14.5,3542,2.638,0,0,0,4,(0.5 + 0.5√-7) (√-7) (2 - √-7) (4 + √-7),1,-45.5 + 14.5√-7,45.5 - 14.5√-7
45.5,14.5,3542,0.504,0,0,0,4,(0.5 - 0.5√-7) (√-7) (2 + √-7) (4 - √-7),0,45.5 + 14.5√-7,-45.5 - 14.5√-7
-47.0,14.0,3581,2.666,1,0,0,1,'(47 - 14√-7),1,-47 + 14√-7,47 - 14√-7
47.0,14.0,3581,0.476,1,0,0,1,'(47 + 14√-7),0,47 + 14√-7,-47 - 14√-7
-46.0,14.0,3488,2.657,0,1,4,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)³ (9 + 2√-7),1,-46 + 14√-7,46 - 14√-7
46.0,14.0,3488,0.485,0,0,4,3,(0.5 + 0.5√-7)³ (0.5 - 0.5√-7)² (9 - 2√-7),0,46 + 14√-7,-46 - 14√-7
-47.5,13.5,3532,2.685,0,0,1,2,(0.5 - 0.5√-7)² (6 - 11√-7),1,-47.5 + 13.5√-7,47.5 - 13.5√-7
47.5,13.5,3532,0.457,0,1,1,2,(0.5 + 0.5√-7)² (6 + 11√-7),0,47.5 + 13.5√-7,-47.5 - 13.5√-7
-49.0,13.0,3584,2.711,0,1,8,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7)⁸ (√-7),1,-49 + 13√-7,49 - 13√-7
49.0,13.0,3584,0.431,0,1,8,3,(0.5 + 0.5√-7)⁸ (0.5 - 0.5√-7) (√-7),0,49 + 13√-7,-49 - 13√-7
-48.0,13.0,3487,2.703,0,1,0,2,(2 - √-7) (17 + 2√-7),1,-48 + 13√-7,48 - 13√-7
48.0,13.0,3487,0.439,0,0,0,2,(2 + √-7) (17 - 2√-7),0,48 + 13√-7,-48 - 13√-7
-49.5,12.5,3544,2.73,0,0,2,2,(0.5 + 0.5√-7)³ (10 - 7√-7),1,-49.5 + 12.5√-7,49.5 - 12.5√-7
49.5,12.5,3544,0.412,0,1,2,2,(0.5 - 0.5√-7)³ (10 + 7√-7),0,49.5 + 12.5√-7,-49.5 - 12.5√-7
-50.0,12.0,3508,2.748,0,1,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (25 - 6√-7),1,-50 + 12√-7,50 - 12√-7
50.0,12.0,3508,0.394,0,0,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (25 + 6√-7),0,50 + 12√-7,-50 - 12√-7
-41.0,16.0,3473,2.548,0,1,0,2,(4 - √-7) (12 - √-7),1,-41 + 16√-7,41 - 16√-7
41.0,16.0,3473,0.594,0,0,0,2,(4 + √-7) (12 + √-7),0,41 + 16√-7,-41 - 16√-7
-40.0,16.0,3392,2.536,0,1,5,3,(0.5 + 0.5√-7)³ (0.5 - 0.5√-7)³ (5 - 2√-7),1,-40 + 16√-7,40 - 16√-7
40.0,16.0,3392,0.606,0,0,5,3,(0.5 + 0.5√-7)³ (0.5 - 0.5√-7)³ (5 + 2√-7),0,40 + 16√-7,-40 - 16√-7
-41.5,15.5,3404,2.568,0,1,1,3,(0.5 - 0.5√-7)² (4 + √-7) (3 + 2√-7),1,-41.5 + 15.5√-7,41.5 - 15.5√-7
41.5,15.5,3404,0.574,0,0,1,3,(0.5 + 0.5√-7)² (4 - √-7) (3 - 2√-7),0,41.5 + 15.5√-7,-41.5 - 15.5√-7
-43.0,15.0,3424,2.599,0,0,4,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7)⁴ (10 - √-7),1,-43 + 15√-7,43 - 15√-7
43.0,15.0,3424,0.543,0,1,4,3,(0.5 + 0.5√-7)⁴ (0.5 - 0.5√-7) (10 + √-7),0,43 + 15√-7,-43 - 15√-7
-44.5,14.5,3452,2.628,0,0,1,2,(0.5 - 0.5√-7)² (4 - 11√-7),1,-44.5 + 14.5√-7,44.5 - 14.5√-7
44.5,14.5,3452,0.514,0,1,1,2,(0.5 + 0.5√-7)² (4 + 11√-7),0,44.5 + 14.5√-7,-44.5 - 14.5√-7
-43.5,14.5,3364,2.618,0,0,2,3,(0.5 + 0.5√-7)² (1 + 2√-7) (1 - 2√-7),1,-43.5 + 14.5√-7,43.5 - 14.5√-7
43.5,14.5,3364,0.524,0,1,2,3,(0.5 - 0.5√-7)² (1 + 2√-7) (1 - 2√-7),0,43.5 + 14.5√-7,-43.5 - 14.5√-7
-45.0,14.0,3397,2.648,0,1,0,2,(6 + √-7) (4 - 3√-7),1,-45 + 14√-7,45 - 14√-7
45.0,14.0,3397,0.494,0,0,0,2,(6 - √-7) (4 + 3√-7),0,45 + 14√-7,-45 - 14√-7
-46.5,13.5,3438,2.676,0,0,0,3,(0.5 + 0.5√-7) (3) (4 + 5√-7),1,-46.5 + 13.5√-7,46.5 - 13.5√-7
46.5,13.5,3438,0.466,0,1,0,3,(0.5 - 0.5√-7) (3) (4 - 5√-7),0,46.5 + 13.5√-7,-46.5 - 13.5√-7
-47.0,13.0,3392,2.695,0,1,5,3,(0.5 + 0.5√-7)⁵ (0.5 - 0.5√-7) (5 + 2√-7),1,-47 + 13√-7,47 - 13√-7
47.0,13.0,3392,0.447,0,0,5,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7)⁵ (5 - 2√-7),0,47 + 13√-7,-47 - 13√-7
-48.5,12.5,3446,2.722,0,1,0,2,(0.5 - 0.5√-7) (34 + 9√-7),1,-48.5 + 12.5√-7,48.5 - 12.5√-7
48.5,12.5,3446,0.42,0,0,0,2,(0.5 + 0.5√-7) (34 - 9√-7),0,48.5 + 12.5√-7,-48.5 - 12.5√-7
-49.0,12.0,3409,2.741,0,0,0,2,(√-7) (12 + 7√-7),1,-49 + 12√-7,49 - 12√-7
49.0,12.0,3409,0.401,0,0,0,2,(√-7) (12 - 7√-7),0,49 + 12√-7,-49 - 12√-7
-49.5,11.5,3376,2.759,0,0,3,2,(0.5 - 0.5√-7)⁴ (6 + 5√-7),1,-49.5 + 11.5√-7,49.5 - 11.5√-7
49.5,11.5,3376,0.383,0,1,3,2,(0.5 + 0.5√-7)⁴ (6 - 5√-7),0,49.5 + 11.5√-7,-49.5 - 11.5√-7
-39.0,16.0,3313,2.524,1,0,0,1,'(39 - 16√-7),1,-39 + 16√-7,39 - 16√-7
39.0,16.0,3313,0.618,1,0,0,1,'(39 + 16√-7),0,39 + 16√-7,-39 - 16√-7
-40.5,15.5,3322,2.557,0,0,0,3,(0.5 + 0.5√-7) (2 + √-7) (12 + √-7),1,-40.5 + 15.5√-7,40.5 - 15.5√-7
40.5,15.5,3322,0.585,0,1,0,3,(0.5 - 0.5√-7) (2 - √-7) (12 - √-7),0,40.5 + 15.5√-7,-40.5 - 15.5√-7
-42.0,15.0,3339,2.588,0,0,0,3,(√-7) (3) (5 + 2√-7),1,-42 + 15√-7,42 - 15√-7
42.0,15.0,3339,0.554,0,0,0,3,(√-7) (3) (5 - 2√-7),0,42 + 15√-7,-42 - 15√-7
-41.0,15.0,3256,2.577,0,1,2,4,(0.5 + 0.5√-7)² (0.5 - 0.5√-7) (2 - √-7) (3 - 2√-7),1,-41 + 15√-7,41 - 15√-7
41.0,15.0,3256,0.565,0,0,2,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7)² (2 + √-7) (3 + 2√-7),0,41 + 15√-7,-41 - 15√-7
-42.5,14.5,3278,2.608,0,1,0,3,(0.5 - 0.5√-7) (2 + √-7) (11 - 2√-7),1,-42.5 + 14.5√-7,42.5 - 14.5√-7
42.5,14.5,3278,0.534,0,0,0,3,(0.5 + 0.5√-7) (2 - √-7) (11 + 2√-7),0,42.5 + 14.5√-7,-42.5 - 14.5√-7
-44.0,14.0,3308,2.638,0,1,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (22 - 7√-7),1,-44 + 14√-7,44 - 14√-7
44.0,14.0,3308,0.504,0,0,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (22 + 7√-7),0,44 + 14√-7,-44 - 14√-7
-45.5,13.5,3346,2.667,0,1,0,3,(0.5 - 0.5√-7) (√-7) (8 - 5√-7),1,-45.5 + 13.5√-7,45.5 - 13.5√-7
45.5,13.5,3346,0.475,0,1,0,3,(0.5 + 0.5√-7) (√-7) (8 + 5√-7),0,45.5 + 13.5√-7,-45.5 - 13.5√-7
-44.5,13.5,3256,2.658,0,1,2,3,(0.5 + 0.5√-7)³ (2 + √-7) (3 + 2√-7),1,-44.5 + 13.5√-7,44.5 - 13.5√-7
44.5,13.5,3256,0.484,0,0,2,3,(0.5 - 0.5√-7)³ (2 - √-7) (3 - 2√-7),0,44.5 + 13.5√-7,-44.5 - 13.5√-7
-46.0,13.0,3299,2.687,1,0,0,1,'(46 - 13√-7),1,-46 + 13√-7,46 - 13√-7
46.0,13.0,3299,0.455,1,0,0,1,'(46 + 13√-7),0,46 + 13√-7,-46 - 13√-7
-47.5,12.5,3350,2.714,0,0,0,3,(0.5 + 0.5√-7) (5) (2 + 3√-7),1,-47.5 + 12.5√-7,47.5 - 12.5√-7
47.5,12.5,3350,0.428,0,1,0,3,(0.5 - 0.5√-7) (5) (2 - 3√-7),0,47.5 + 12.5√-7,-47.5 - 12.5√-7
-46.5,12.5,3256,2.706,0,0,2,3,(0.5 - 0.5√-7)³ (2 + √-7) (3 - 2√-7),1,-46.5 + 12.5√-7,46.5 - 12.5√-7
46.5,12.5,3256,0.436,0,1,2,3,(0.5 + 0.5√-7)³ (2 - √-7) (3 + 2√-7),0,46.5 + 12.5√-7,-46.5 - 12.5√-7
-48.0,12.0,3312,2.733,0,1,3,4,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)² (3) (4 - √-7),1,-48 + 12√-7,48 - 12√-7
48.0,12.0,3312,0.409,0,0,3,4,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)² (3) (4 + √-7),0,48 + 12√-7,-48 - 12√-7
-48.5,11.5,3278,2.752,0,0,0,3,(0.5 + 0.5√-7) (2 + √-7) (11 + 2√-7),1,-48.5 + 11.5√-7,48.5 - 11.5√-7
48.5,11.5,3278,0.39,0,1,0,3,(0.5 - 0.5√-7) (2 - √-7) (11 - 2√-7),0,48.5 + 11.5√-7,-48.5 - 11.5√-7
-50.0,11.0,3347,2.778,1,0,0,1,'(50 - 11√-7),1,-50 + 11√-7,50 - 11√-7
50.0,11.0,3347,0.364,1,0,0,1,'(50 + 11√-7),0,50 + 11√-7,-50 - 11√-7
-38.0,16.0,3236,2.512,0,1,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (19 - 8√-7),1,-38 + 16√-7,38 - 16√-7
38.0,16.0,3236,0.63,0,0,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (19 + 8√-7),0,38 + 16√-7,-38 - 16√-7
-37.0,16.0,3161,2.499,0,1,0,2,(1 - 2√-7) (9 + 2√-7),1,-37 + 16√-7,37 - 16√-7
37.0,16.0,3161,0.643,0,0,0,2,(1 + 2√-7) (9 - 2√-7),0,37 + 16√-7,-37 - 16√-7
-39.5,15.5,3242,2.545,0,1,0,2,(0.5 - 0.5√-7) (37 + 6√-7),1,-39.5 + 15.5√-7,39.5 - 15.5√-7
39.5,15.5,3242,0.597,0,0,0,2,(0.5 + 0.5√-7) (37 - 6√-7),0,39.5 + 15.5√-7,-39.5 - 15.5√-7
-38.5,15.5,3164,2.533,0,1,1,3,(0.5 + 0.5√-7)² (√-7) (1 + 4√-7),1,-38.5 + 15.5√-7,38.5 - 15.5√-7
