Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
1,0,1,0.0,0,0,0,0,,0,1,-1
37.0,6,1,0.161,0,2,0,0,,2,37 + 6√38,-37 - 6√38
-37.0,6,1,2.981,0,4,0,0,,2,-37 + 6√38,37 - 6√38
6.0,1,-2,0.165,1,0,0,0,'(6 + √38),2,6 + √38,-6 - √38,6 + √38
-6.0,1,-2,2.976,1,5,0,1,(6 + √38),2,-6 + √38,6 - √38,6 + √38
2,0,4,0.0,0,5,1,1,(6 + √38)²,0,2,-2
12.0,2,-8,0.165,0,5,2,1,(6 + √38)³,0,12 + 2√38,-12 - 2√38
-12.0,2,-8,2.976,0,0,2,1,(6 + √38)³,1,-12 + 2√38,12 - 2√38
3,0,9,0.0,1,0,0,0,'(3),2,3,-3,3
7.0,1,11,0.142,1,0,0,0,'(7 + √38),2,7 + √38,-7 - √38,7 + √38
-7.0,1,11,3.0,1,1,0,0,'(7 - √38),2,-7 + √38,7 - √38,7 - √38
31.0,5,11,0.16,1,3,0,1,(7 - √38),2,31 + 5√38,-31 - 5√38,7 - √38
-31.0,5,11,2.982,1,4,0,1,(7 + √38),2,-31 + 5√38,31 - 5√38,7 + √38
5.0,1,-13,0.197,1,0,0,0,'(5 + √38),2,5 + √38,-5 - √38,5 + √38
-5.0,1,-13,2.944,1,1,0,0,'(5 - √38),2,-5 + √38,5 - √38,5 - √38
43.0,7,-13,0.161,1,2,0,1,(5 - √38),2,43 + 7√38,-43 - 7√38,5 - √38
-43.0,7,-13,2.98,1,5,0,1,(5 + √38),2,-43 + 7√38,43 - 7√38,5 + √38
4,0,16,0.0,0,0,3,1,(6 + √38)⁴,0,4,-4
13.0,2,17,0.153,1,0,0,0,'(13 + 2√38),2,13 + 2√38,-13 - 2√38,13 + 2√38
-13.0,2,17,2.989,1,1,0,0,'(13 - 2√38),2,-13 + 2√38,13 - 2√38,13 - 2√38
25.0,4,17,0.159,1,3,0,1,(13 - 2√38),2,25 + 4√38,-25 - 4√38,13 - 2√38
-25.0,4,17,2.983,1,4,0,1,(13 + 2√38),2,-25 + 4√38,25 - 4√38,13 + 2√38
18.0,3,-18,0.165,0,0,0,2,(6 + √38) (3),0,18 + 3√38,-18 - 3√38
-18.0,3,-18,2.976,0,5,0,2,(6 + √38) (3),1,-18 + 3√38,18 - 3√38
19.0,3,19,0.157,1,0,0,0,'(19 + 3√38),2,19 + 3√38,-19 - 3√38,19 + 3√38
-19.0,3,19,2.985,1,4,0,1,(19 + 3√38),2,-19 + 3√38,19 - 3√38,19 + 3√38
4.0,1,-22,0.245,0,1,0,2,(6 + √38) (7 - √38),0,4 + √38,-4 - √38
-4.0,1,-22,2.897,0,5,0,2,(6 + √38) (7 + √38),1,-4 + √38,4 - √38
5,0,25,0.0,1,0,0,0,'(5),2,5,-5,5
8.0,1,26,0.124,0,0,0,2,(6 + √38) (5 - √38),0,8 + √38,-8 - √38
-8.0,1,26,3.017,0,4,0,2,(6 + √38) (5 + √38),1,-8 + √38,8 - √38
3.0,1,-29,0.322,1,0,0,0,'(3 + √38),2,3 + √38,-3 - √38,3 + √38
-3.0,1,-29,2.82,1,1,0,0,'(3 - √38),2,-3 + √38,3 - √38,3 - √38
11.0,2,-31,0.18,1,0,0,0,'(11 + 2√38),2,11 + 2√38,-11 - 2√38,11 + 2√38
-11.0,2,-31,2.962,1,1,0,0,'(11 - 2√38),2,-11 + 2√38,11 - 2√38,11 - 2√38
49.0,8,-31,0.162,1,2,0,1,(11 - 2√38),2,49 + 8√38,-49 - 8√38,11 - 2√38
-49.0,8,-31,2.98,1,5,0,1,(11 + 2√38),2,-49 + 8√38,49 - 8√38,11 + 2√38
24.0,4,-32,0.165,0,0,4,1,(6 + √38)⁵,0,24 + 4√38,-24 - 4√38
-24.0,4,-32,2.976,0,0,4,1,(6 + √38)⁵,1,-24 + 4√38,24 - 4√38
2.0,1,-34,0.464,0,1,0,2,(6 + √38) (13 - 2√38),0,2 + √38,-2 - √38
-2.0,1,-34,2.678,0,5,0,2,(6 + √38) (13 + 2√38),1,-2 + √38,2 - √38
6,0,36,0.0,0,5,1,2,(6 + √38)² (3),0,6,-6
1.0,1,-37,0.785,1,0,0,0,'(1 + √38),2,1 + √38,-1 - √38,1 + √38
-1.0,1,-37,2.356,1,1,0,0,'(1 - √38),2,-1 + √38,1 - √38,1 - √38
0.0,1,-38,1.571,0,5,0,2,(6 + √38) (19 + 3√38),0,√38,-√38
9.0,1,43,0.111,1,0,0,0,'(9 + √38),2,9 + √38,-9 - √38,9 + √38
-9.0,1,43,3.031,1,1,0,0,'(9 - √38),2,-9 + √38,9 - √38,9 - √38
14.0,2,44,0.142,0,5,1,2,(6 + √38)² (7 + √38),0,14 + 2√38,-14 - 2√38
-14.0,2,44,3.0,0,5,1,2,(6 + √38)² (7 - √38),1,-14 + 2√38,14 - 2√38
7,0,49,0.0,1,0,0,0,'(7),2,7,-7,7
30.0,5,-50,0.165,0,0,0,2,(6 + √38) (5),0,30 + 5√38,-30 - 5√38
-30.0,5,-50,2.976,0,5,0,2,(6 + √38) (5),1,-30 + 5√38,30 - 5√38
10.0,2,-52,0.197,0,5,1,2,(6 + √38)² (5 + √38),0,10 + 2√38,-10 - 2√38
-10.0,2,-52,2.944,0,5,1,2,(6 + √38)² (5 - √38),1,-10 + 2√38,10 - 2√38
17.0,3,-53,0.175,1,0,0,0,'(17 + 3√38),2,17 + 3√38,-17 - 3√38,17 + 3√38
-17.0,3,-53,2.967,1,1,0,0,'(17 - 3√38),2,-17 + 3√38,17 - 3√38,17 - 3√38
20.0,3,58,0.149,0,0,0,2,(6 + √38) (3 - √38),0,20 + 3√38,-20 - 3√38
-20.0,3,58,2.993,0,4,0,2,(6 + √38) (3 + √38),1,-20 + 3√38,20 - 3√38
10.0,1,62,0.1,0,0,0,2,(6 + √38) (11 - 2√38),0,10 + √38,-10 - √38
-10.0,1,62,3.042,0,4,0,2,(6 + √38) (11 + 2√38),1,-10 + √38,10 - √38
8,0,64,0.0,0,0,5,1,(6 + √38)⁶,0,8,-8
26.0,4,68,0.153,0,5,1,2,(6 + √38)² (13 + 2√38),0,26 + 4√38,-26 - 4√38
-26.0,4,68,2.989,0,5,1,2,(6 + √38)² (13 - 2√38),1,-26 + 4√38,26 - 4√38
50.0,8,68,0.159,0,1,1,2,(6 + √38)² (13 - 2√38),0,50 + 8√38,-50 - 8√38
-50.0,8,68,2.983,0,0,1,2,(6 + √38)² (13 + 2√38),1,-50 + 8√38,50 - 8√38
9.0,2,-71,0.219,1,0,0,0,'(9 + 2√38),2,9 + 2√38,-9 - 2√38,9 + 2√38
-9.0,2,-71,2.923,1,1,0,0,'(9 - 2√38),2,-9 + 2√38,9 - 2√38,9 - 2√38
36.0,6,-72,0.165,0,5,2,2,(6 + √38)³ (3),0,36 + 6√38,-36 - 6√38
-36.0,6,-72,2.976,0,0,2,2,(6 + √38)³ (3),1,-36 + 6√38,36 - 6√38
15.0,2,73,0.133,1,0,0,0,'(15 + 2√38),2,15 + 2√38,-15 - 2√38,15 + 2√38
-15.0,2,73,3.009,1,1,0,0,'(15 - 2√38),2,-15 + 2√38,15 - 2√38,15 - 2√38
32.0,5,74,0.155,0,0,0,2,(6 + √38) (1 - √38),0,32 + 5√38,-32 - 5√38
-32.0,5,74,2.987,0,4,0,2,(6 + √38) (1 + √38),1,-32 + 5√38,32 - 5√38
44.0,7,74,0.158,0,0,0,2,(6 + √38) (1 + √38),0,44 + 7√38,-44 - 7√38
-44.0,7,74,2.984,0,4,0,2,(6 + √38) (1 - √38),1,-44 + 7√38,44 - 7√38
38.0,6,76,0.157,0,5,1,2,(6 + √38)² (19 + 3√38),0,38 + 6√38,-38 - 6√38
-38.0,6,76,2.985,0,0,1,2,(6 + √38)² (19 + 3√38),1,-38 + 6√38,38 - 6√38
23.0,4,-79,0.172,1,0,0,0,'(23 + 4√38),2,23 + 4√38,-23 - 4√38,23 + 4√38
-23.0,4,-79,2.969,1,1,0,0,'(23 - 4√38),2,-23 + 4√38,23 - 4√38,23 - 4√38
9,0,81,0.0,0,0,1,1,(3)²,0,9,-9
11.0,1,83,0.091,1,0,0,0,'(11 + √38),2,11 + √38,-11 - √38,11 + √38
-11.0,1,83,3.051,1,1,0,0,'(11 - √38),2,-11 + √38,11 - √38,11 - √38
16.0,3,-86,0.185,0,1,0,2,(6 + √38) (9 - √38),0,16 + 3√38,-16 - 3√38
-16.0,3,-86,2.956,0,5,0,2,(6 + √38) (9 + √38),1,-16 + 3√38,16 - 3√38
8.0,2,-88,0.245,0,4,2,2,(6 + √38)³ (7 - √38),0,8 + 2√38,-8 - 2√38
-8.0,2,-88,2.897,0,0,2,2,(6 + √38)³ (7 + √38),1,-8 + 2√38,8 - 2√38
42.0,7,-98,0.165,0,0,0,2,(6 + √38) (7),0,42 + 7√38,-42 - 7√38
-42.0,7,-98,2.976,0,5,0,2,(6 + √38) (7),1,-42 + 7√38,42 - 7√38
21.0,3,99,0.142,0,0,0,2,(3) (7 + √38),0,21 + 3√38,-21 - 3√38
-21.0,3,99,3.0,0,0,0,2,(3) (7 - √38),1,-21 + 3√38,21 - 3√38
10,0,100,0.0,0,5,1,2,(6 + √38)² (5),0,10,-10
7.0,2,-103,0.278,1,0,0,0,'(7 + 2√38),2,7 + 2√38,-7 - 2√38,7 + 2√38
-7.0,2,-103,2.863,1,1,0,0,'(7 - 2√38),2,-7 + 2√38,7 - 2√38,7 - 2√38
16.0,2,104,0.124,0,5,2,2,(6 + √38)³ (5 - √38),0,16 + 2√38,-16 - 2√38
-16.0,2,104,3.017,0,0,2,2,(6 + √38)³ (5 + √38),1,-16 + 2√38,16 - 2√38
12.0,1,106,0.083,0,0,0,2,(6 + √38) (17 - 3√38),0,12 + √38,-12 - √38
-12.0,1,106,3.058,0,4,0,2,(6 + √38) (17 + 3√38),1,-12 + √38,12 - √38
29.0,5,-109,0.171,1,0,0,0,'(29 + 5√38),2,29 + 5√38,-29 - 5√38,29 + 5√38
-29.0,5,-109,2.971,1,1,0,0,'(29 - 5√38),2,-29 + 5√38,29 - 5√38,29 - 5√38
6.0,2,-116,0.322,0,5,1,2,(6 + √38)² (3 + √38),0,6 + 2√38,-6 - 2√38
-6.0,2,-116,2.82,0,5,1,2,(6 + √38)² (3 - √38),1,-6 + 2√38,6 - 2√38
15.0,3,-117,0.197,0,0,0,2,(3) (5 + √38),0,15 + 3√38,-15 - 3√38
-15.0,3,-117,2.944,0,0,0,2,(3) (5 - √38),1,-15 + 3√38,15 - 3√38
11,0,121,0.0,0,1,1,2,(7 + √38) (7 - √38),0,11,-11
27.0,4,121,0.147,0,2,1,1,(7 - √38)²,0,27 + 4√38,-27 - 4√38
-27.0,4,121,2.995,0,4,1,1,(7 + √38)²,1,-27 + 4√38,27 - 4√38
22.0,4,-124,0.18,0,5,1,2,(6 + √38)² (11 + 2√38),0,22 + 4√38,-22 - 4√38
-22.0,4,-124,2.962,0,5,1,2,(6 + √38)² (11 - 2√38),1,-22 + 4√38,22 - 4√38
5.0,2,-127,0.381,1,0,0,0,'(5 + 2√38),2,5 + 2√38,-5 - 2√38,5 + 2√38
-5.0,2,-127,2.761,1,1,0,0,'(5 - 2√38),2,-5 + 2√38,5 - 2√38,5 - 2√38
48.0,8,-128,0.165,0,0,6,1,(6 + √38)⁷,0,48 + 8√38,-48 - 8√38
-48.0,8,-128,2.976,0,0,6,1,(6 + √38)⁷,1,-48 + 8√38,48 - 8√38
13.0,1,131,0.077,1,0,0,0,'(13 + √38),2,13 + √38,-13 - √38,13 + √38
-13.0,1,131,3.065,1,1,0,0,'(13 - √38),2,-13 + √38,13 - √38,13 - √38
4.0,2,-136,0.464,0,4,2,2,(6 + √38)³ (13 - 2√38),0,4 + 2√38,-4 - 2√38
-4.0,2,-136,2.678,0,0,2,2,(6 + √38)³ (13 + 2√38),1,-4 + 2√38,4 - 2√38
17.0,2,137,0.117,1,0,0,0,'(17 + 2√38),2,17 + 2√38,-17 - 2√38,17 + 2√38
-17.0,2,137,3.024,1,1,0,0,'(17 - 2√38),2,-17 + 2√38,17 - 2√38,17 - 2√38
33.0,5,139,0.15,1,0,0,0,'(33 + 5√38),2,33 + 5√38,-33 - 5√38,33 + 5√38
-33.0,5,139,2.991,1,1,0,0,'(33 - 5√38),2,-33 + 5√38,33 - 5√38,33 - 5√38
22.0,3,142,0.136,0,0,0,2,(6 + √38) (9 - 2√38),0,22 + 3√38,-22 - 3√38
-22.0,3,142,3.006,0,4,0,2,(6 + √38) (9 + 2√38),1,-22 + 3√38,22 - 3√38
3.0,2,-143,0.588,0,0,0,2,(7 + √38) (5 - √38),0,3 + 2√38,-3 - 2√38
-3.0,2,-143,2.554,0,1,0,2,(7 - √38) (5 + √38),1,-3 + 2√38,3 - 2√38
35.0,6,-143,0.17,0,3,0,2,(7 - √38) (5 - √38),0,35 + 6√38,-35 - 6√38
-35.0,6,-143,2.972,0,5,0,2,(7 + √38) (5 + √38),1,-35 + 6√38,35 - 6√38
12,0,144,0.0,0,0,3,2,(6 + √38)⁴ (3),0,12,-12
14.0,3,-146,0.211,0,1,0,2,(6 + √38) (15 - 2√38),0,14 + 3√38,-14 - 3√38
-14.0,3,-146,2.93,0,5,0,2,(6 + √38) (15 + 2√38),1,-14 + 3√38,14 - 3√38
2.0,2,-148,0.785,0,5,1,2,(6 + √38)² (1 + √38),0,2 + 2√38,-2 - 2√38
-2.0,2,-148,2.356,0,5,1,2,(6 + √38)² (1 - √38),1,-2 + 2√38,2 - 2√38
1.0,2,-151,1.107,1,0,0,0,'(1 + 2√38),2,1 + 2√38,-1 - 2√38,1 + 2√38
-1.0,2,-151,2.034,1,1,0,0,'(1 - 2√38),2,-1 + 2√38,1 - 2√38,1 - 2√38
0.0,2,-152,1.571,0,0,2,2,(6 + √38)³ (19 + 3√38),0,2√38,-2√38
39.0,6,153,0.153,0,0,0,2,(3) (13 + 2√38),0,39 + 6√38,-39 - 6√38
-39.0,6,153,2.989,0,0,0,2,(3) (13 - 2√38),1,-39 + 6√38,39 - 6√38
14.0,1,158,0.071,0,0,0,2,(6 + √38) (23 - 4√38),0,14 + √38,-14 - √38
-14.0,1,158,3.07,0,4,0,2,(6 + √38) (23 + 4√38),1,-14 + √38,14 - √38
45.0,7,163,0.154,1,0,0,0,'(45 + 7√38),2,45 + 7√38,-45 - 7√38,45 + 7√38
-45.0,7,163,2.987,1,1,0,0,'(45 - 7√38),2,-45 + 7√38,45 - 7√38,45 - 7√38
28.0,5,-166,0.177,0,1,0,2,(6 + √38) (11 - √38),0,28 + 5√38,-28 - 5√38
-28.0,5,-166,2.965,0,5,0,2,(6 + √38) (11 + √38),1,-28 + 5√38,28 - 5√38
21.0,4,-167,0.188,1,0,0,0,'(21 + 4√38),2,21 + 4√38,-21 - 4√38,21 + 4√38
-21.0,4,-167,2.953,1,1,0,0,'(21 - 4√38),2,-21 + 4√38,21 - 4√38,21 - 4√38
13,0,169,0.0,0,0,1,2,(5 + √38) (5 - √38),0,13,-13
18.0,2,172,0.111,0,5,1,2,(6 + √38)² (9 + √38),0,18 + 2√38,-18 - 2√38
-18.0,2,172,3.031,0,5,1,2,(6 + √38)² (9 - √38),1,-18 + 2√38,18 - 2√38
13.0,3,-173,0.227,1,0,0,0,'(13 + 3√38),2,13 + 3√38,-13 - 3√38,13 + 3√38
-13.0,3,-173,2.915,1,1,0,0,'(13 - 3√38),2,-13 + 3√38,13 - 3√38,13 - 3√38
28.0,4,176,0.142,0,0,3,2,(6 + √38)⁴ (7 + √38),0,28 + 4√38,-28 - 4√38
-28.0,4,176,3.0,0,0,3,2,(6 + √38)⁴ (7 - √38),1,-28 + 4√38,28 - 4√38
41.0,7,-181,0.169,1,0,0,0,'(41 + 7√38),2,41 + 7√38,-41 - 7√38,41 + 7√38
-41.0,7,-181,2.972,1,1,0,0,'(41 - 7√38),2,-41 + 7√38,41 - 7√38,41 - 7√38
15.0,1,187,0.067,0,1,0,2,(7 - √38) (13 + 2√38),0,15 + √38,-15 - √38
-15.0,1,187,3.075,0,0,0,2,(7 + √38) (13 - 2√38),1,-15 + √38,15 - √38
23.0,3,187,0.13,0,2,0,2,(7 - √38) (13 - 2√38),0,23 + 3√38,-23 - 3√38
-23.0,3,187,3.012,0,4,0,2,(7 + √38) (13 + 2√38),1,-23 + 3√38,23 - 3√38
14,0,196,0.0,0,5,1,2,(6 + √38)² (7),0,14,-14
12.0,3,-198,0.245,0,1,0,3,(6 + √38) (3) (7 - √38),0,12 + 3√38,-12 - 3√38
-12.0,3,-198,2.897,0,5,0,3,(6 + √38) (3) (7 + √38),1,-12 + 3√38,12 - 3√38
34.0,5,206,0.146,0,0,0,2,(6 + √38) (7 - 2√38),0,34 + 5√38,-34 - 5√38
-34.0,5,206,2.996,0,4,0,2,(6 + √38) (7 + 2√38),1,-34 + 5√38,34 - 5√38
20.0,4,-208,0.197,0,0,3,2,(6 + √38)⁴ (5 + √38),0,20 + 4√38,-20 - 4√38
-20.0,4,-208,2.944,0,0,3,2,(6 + √38)⁴ (5 - √38),1,-20 + 4√38,20 - 4√38
19.0,2,209,0.105,0,1,0,2,(7 - √38) (19 + 3√38),0,19 + 2√38,-19 - 2√38
-19.0,2,209,3.037,0,4,0,2,(7 + √38) (19 + 3√38),1,-19 + 2√38,19 - 2√38
34.0,6,-212,0.175,0,5,1,2,(6 + √38)² (17 + 3√38),0,34 + 6√38,-34 - 6√38
-34.0,6,-212,2.967,0,5,1,2,(6 + √38)² (17 - 3√38),1,-34 + 6√38,34 - 6√38
16.0,1,218,0.062,0,0,0,2,(6 + √38) (29 - 5√38),0,16 + √38,-16 - √38
-16.0,1,218,3.079,0,4,0,2,(6 + √38) (29 + 5√38),1,-16 + √38,16 - √38
11.0,3,-221,0.266,0,0,0,2,(5 - √38) (13 + 2√38),0,11 + 3√38,-11 - 3√38
-11.0,3,-221,2.875,0,1,0,2,(5 + √38) (13 - 2√38),1,-11 + 3√38,11 - 3√38
27.0,5,-221,0.183,0,3,0,2,(5 - √38) (13 - 2√38),0,27 + 5√38,-27 - 5√38
-27.0,5,-221,2.958,0,5,0,2,(5 + √38) (13 + 2√38),1,-27 + 5√38,27 - 5√38
47.0,8,-223,0.169,1,0,0,0,'(47 + 8√38),2,47 + 8√38,-47 - 8√38,47 + 8√38
-47.0,8,-223,2.973,1,1,0,0,'(47 - 8√38),2,-47 + 8√38,47 - 8√38,47 - 8√38
15,0,225,0.0,0,0,0,2,(3) (5),0,15,-15
40.0,6,232,0.149,0,5,2,2,(6 + √38)³ (3 - √38),0,40 + 6√38,-40 - 6√38
-40.0,6,232,2.993,0,0,2,2,(6 + √38)³ (3 + √38),1,-40 + 6√38,40 - 6√38
29.0,4,233,0.137,1,0,0,0,'(29 + 4√38),2,29 + 4√38,-29 - 4√38,29 + 4√38
-29.0,4,233,3.005,1,1,0,0,'(29 - 4√38),2,-29 + 4√38,29 - 4√38,29 - 4√38
24.0,3,234,0.124,0,0,0,3,(6 + √38) (3) (5 - √38),0,24 + 3√38,-24 - 3√38
-24.0,3,234,3.017,0,4,0,3,(6 + √38) (3) (5 + √38),1,-24 + 3√38,24 - 3√38
10.0,3,-242,0.291,0,5,1,2,(6 + √38) (7 + √38)²,0,10 + 3√38,-10 - 3√38
-10.0,3,-242,2.85,0,0,1,2,(6 + √38) (7 - √38)²,1,-10 + 3√38,10 - 3√38
19.0,4,-247,0.207,0,0,0,2,(5 - √38) (19 + 3√38),0,19 + 4√38,-19 - 4√38
-19.0,4,-247,2.934,0,5,0,2,(5 + √38) (19 + 3√38),1,-19 + 4√38,19 - 4√38
20.0,2,248,0.1,0,5,2,2,(6 + √38)³ (11 - 2√38),0,20 + 2√38,-20 - 2√38
-20.0,2,248,3.042,0,0,2,2,(6 + √38)³ (11 + 2√38),1,-20 + 2√38,20 - 2√38
17.0,1,251,0.059,1,0,0,0,'(17 + √38),2,17 + √38,-17 - √38,17 + √38
-17.0,1,251,3.083,1,1,0,0,'(17 - √38),2,-17 + √38,17 - √38,17 - √38
46.0,7,254,0.151,0,0,0,2,(6 + √38) (5 - 2√38),0,46 + 7√38,-46 - 7√38
