Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-36.0,16.0,12304,2.486,0,1,1,2,(2)² (9 - 4√-43),1,-36 + 16√-43,36 - 16√-43
36.0,16.0,12304,0.656,0,0,1,2,(2)² (9 + 4√-43),0,36 + 16√-43,-36 - 16√-43
-35.0,16.0,12233,2.472,0,1,0,2,(1.5 - 0.5√-43) (30.5 - 0.5√-43),1,-35 + 16√-43,35 - 16√-43
35.0,16.0,12233,0.67,0,0,0,2,(1.5 + 0.5√-43) (30.5 + 0.5√-43),0,35 + 16√-43,-35 - 16√-43
-34.0,16.0,12164,2.458,0,1,0,2,(2) (17 - 8√-43),1,-34 + 16√-43,34 - 16√-43
34.0,16.0,12164,0.684,0,0,0,2,(2) (17 + 8√-43),0,34 + 16√-43,-34 - 16√-43
-44.5,15.5,12311,2.599,0,0,0,2,(1.5 + 0.5√-43) (20.5 + 3.5√-43),1,-44.5 + 15.5√-43,44.5 - 15.5√-43
44.5,15.5,12311,0.543,0,1,0,2,(1.5 - 0.5√-43) (20.5 - 3.5√-43),0,44.5 + 15.5√-43,-44.5 - 15.5√-43
-43.5,15.5,12223,2.589,0,1,0,2,(2.5 - 0.5√-43) (26 - √-43),1,-43.5 + 15.5√-43,43.5 - 15.5√-43
43.5,15.5,12223,0.553,0,0,0,2,(2.5 + 0.5√-43) (26 + √-43),0,43.5 + 15.5√-43,-43.5 - 15.5√-43
-42.5,15.5,12137,2.579,0,1,0,2,(6.5 - 0.5√-43) (11.5 - 1.5√-43),1,-42.5 + 15.5√-43,42.5 - 15.5√-43
42.5,15.5,12137,0.563,0,0,0,2,(6.5 + 0.5√-43) (11.5 + 1.5√-43),0,42.5 + 15.5√-43,-42.5 - 15.5√-43
-50.0,15.0,12175,2.663,0,1,0,2,(5) (10 - 3√-43),1,-50 + 15√-43,50 - 15√-43
50.0,15.0,12175,0.479,0,0,0,2,(5) (10 + 3√-43),0,50 + 15√-43,-50 - 15√-43
-33.0,16.0,12097,2.443,1,0,0,1,'(33 - 16√-43),1,-33 + 16√-43,33 - 16√-43
33.0,16.0,12097,0.699,1,0,0,1,'(33 + 16√-43),0,33 + 16√-43,-33 - 16√-43
-32.0,16.0,12032,2.428,0,1,3,2,(2)⁴ (2 - √-43),1,-32 + 16√-43,32 - 16√-43
32.0,16.0,12032,0.714,0,0,3,2,(2)⁴ (2 + √-43),0,32 + 16√-43,-32 - 16√-43
-31.0,16.0,11969,2.413,1,0,0,1,'(31 - 16√-43),1,-31 + 16√-43,31 - 16√-43
31.0,16.0,11969,0.729,1,0,0,1,'(31 + 16√-43),0,31 + 16√-43,-31 - 16√-43
-30.0,16.0,11908,2.396,0,0,0,3,(2) (1.5 + 0.5√-43) (11.5 + 1.5√-43),1,-30 + 16√-43,30 - 16√-43
30.0,16.0,11908,0.746,0,1,0,3,(2) (1.5 - 0.5√-43) (11.5 - 1.5√-43),0,30 + 16√-43,-30 - 16√-43
-41.5,15.5,12053,2.568,0,0,0,2,(2.5 + 0.5√-43) (13.5 + 3.5√-43),1,-41.5 + 15.5√-43,41.5 - 15.5√-43
41.5,15.5,12053,0.574,0,1,0,2,(2.5 - 0.5√-43) (13.5 - 3.5√-43),0,41.5 + 15.5√-43,-41.5 - 15.5√-43
-40.5,15.5,11971,2.557,1,0,0,1,'(40.5 - 15.5√-43),1,-40.5 + 15.5√-43,40.5 - 15.5√-43
40.5,15.5,11971,0.585,1,0,0,1,'(40.5 + 15.5√-43),0,40.5 + 15.5√-43,-40.5 - 15.5√-43
-39.5,15.5,11891,2.545,0,0,0,3,(0.5 + 0.5√-43) (3.5 - 0.5√-43) (2 + √-43),1,-39.5 + 15.5√-43,39.5 - 15.5√-43
39.5,15.5,11891,0.597,0,1,0,3,(0.5 - 0.5√-43) (3.5 + 0.5√-43) (2 - √-43),0,39.5 + 15.5√-43,-39.5 - 15.5√-43
-49.0,15.0,12076,2.654,0,1,0,2,(2) (24.5 - 7.5√-43),1,-49 + 15√-43,49 - 15√-43
49.0,15.0,12076,0.488,0,0,0,2,(2) (24.5 + 7.5√-43),0,49 + 15√-43,-49 - 15√-43
-48.0,15.0,11979,2.646,0,0,2,2,(3) (0.5 - 0.5√-43)³,1,-48 + 15√-43,48 - 15√-43
48.0,15.0,11979,0.496,0,1,2,2,(3) (0.5 + 0.5√-43)³,0,48 + 15√-43,-48 - 15√-43
-47.0,15.0,11884,2.637,0,1,0,2,(2) (23.5 - 7.5√-43),1,-47 + 15√-43,47 - 15√-43
47.0,15.0,11884,0.505,0,0,0,2,(2) (23.5 + 7.5√-43),0,47 + 15√-43,-47 - 15√-43
-29.0,16.0,11849,2.379,0,1,1,2,(2.5 - 0.5√-43)² (5.5 + 0.5√-43),1,-29 + 16√-43,29 - 16√-43
29.0,16.0,11849,0.763,0,0,1,2,(2.5 + 0.5√-43)² (5.5 - 0.5√-43),0,29 + 16√-43,-29 - 16√-43
-28.0,16.0,11792,2.362,0,0,1,3,(2)² (0.5 + 0.5√-43) (7.5 + 0.5√-43),1,-28 + 16√-43,28 - 16√-43
28.0,16.0,11792,0.78,0,1,1,3,(2)² (0.5 - 0.5√-43) (7.5 - 0.5√-43),0,28 + 16√-43,-28 - 16√-43
-27.0,16.0,11737,2.344,0,1,1,2,(0.5 - 0.5√-43)² (0.5 + 1.5√-43),1,-27 + 16√-43,27 - 16√-43
27.0,16.0,11737,0.798,0,0,1,2,(0.5 + 0.5√-43)² (0.5 - 1.5√-43),0,27 + 16√-43,-27 - 16√-43
-26.0,16.0,11684,2.325,0,0,0,3,(2) (3.5 + 0.5√-43) (5.5 + 1.5√-43),1,-26 + 16√-43,26 - 16√-43
26.0,16.0,11684,0.817,0,1,0,3,(2) (3.5 - 0.5√-43) (5.5 - 1.5√-43),0,26 + 16√-43,-26 - 16√-43
-38.5,15.5,11813,2.533,1,0,0,1,'(38.5 - 15.5√-43),1,-38.5 + 15.5√-43,38.5 - 15.5√-43
38.5,15.5,11813,0.609,1,0,0,1,'(38.5 + 15.5√-43),0,38.5 + 15.5√-43,-38.5 - 15.5√-43
-37.5,15.5,11737,2.521,0,0,1,2,(0.5 - 0.5√-43)² (0.5 - 1.5√-43),1,-37.5 + 15.5√-43,37.5 - 15.5√-43
37.5,15.5,11737,0.621,0,1,1,2,(0.5 + 0.5√-43)² (0.5 + 1.5√-43),0,37.5 + 15.5√-43,-37.5 - 15.5√-43
-46.0,15.0,11791,2.628,0,0,0,2,(1.5 + 0.5√-43) (19.5 + 3.5√-43),1,-46 + 15√-43,46 - 15√-43
46.0,15.0,11791,0.514,0,1,0,2,(1.5 - 0.5√-43) (19.5 - 3.5√-43),0,46 + 15√-43,-46 - 15√-43
