Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,44228,2.636,0,1,0,2,(2) (25 - 8√-163),1,-50 + 16√-163,50 - 16√-163
50.0,16.0,44228,0.506,0,0,0,2,(2) (25 + 8√-163),0,50 + 16√-163,-50 - 16√-163
-49.0,16.0,44129,2.627,1,0,0,1,'(49 - 16√-163),1,-49 + 16√-163,49 - 16√-163
49.0,16.0,44129,0.515,1,0,0,1,'(49 + 16√-163),0,49 + 16√-163,-49 - 16√-163
-48.0,16.0,44032,2.618,0,1,4,2,(2)⁵ (1.5 - 0.5√-163),1,-48 + 16√-163,48 - 16√-163
48.0,16.0,44032,0.524,0,0,4,2,(2)⁵ (1.5 + 0.5√-163),0,48 + 16√-163,-48 - 16√-163
-47.0,16.0,43937,2.609,0,0,0,2,(3.5 + 0.5√-163) (21.5 + 1.5√-163),1,-47 + 16√-163,47 - 16√-163
47.0,16.0,43937,0.533,0,1,0,2,(3.5 - 0.5√-163) (21.5 - 1.5√-163),0,47 + 16√-163,-47 - 16√-163
-46.0,16.0,43844,2.6,0,1,0,3,(2) (7.5 - 0.5√-163) (8.5 - 0.5√-163),1,-46 + 16√-163,46 - 16√-163
46.0,16.0,43844,0.542,0,0,0,3,(2) (7.5 + 0.5√-163) (8.5 + 0.5√-163),0,46 + 16√-163,-46 - 16√-163
-45.0,16.0,43753,2.59,1,0,0,1,'(45 - 16√-163),1,-45 + 16√-163,45 - 16√-163
45.0,16.0,43753,0.552,1,0,0,1,'(45 + 16√-163),0,45 + 16√-163,-45 - 16√-163
-44.0,16.0,43664,2.58,0,1,1,2,(2)² (11 - 4√-163),1,-44 + 16√-163,44 - 16√-163
44.0,16.0,43664,0.562,0,0,1,2,(2)² (11 + 4√-163),0,44 + 16√-163,-44 - 16√-163
-43.0,16.0,43577,2.57,1,0,0,1,'(43 - 16√-163),1,-43 + 16√-163,43 - 16√-163
43.0,16.0,43577,0.572,1,0,0,1,'(43 + 16√-163),0,43 + 16√-163,-43 - 16√-163
-42.0,16.0,43492,2.559,0,1,0,3,(2) (6.5 - 0.5√-163) (9.5 - 0.5√-163),1,-42 + 16√-163,42 - 16√-163
42.0,16.0,43492,0.583,0,0,0,3,(2) (6.5 + 0.5√-163) (9.5 + 0.5√-163),0,42 + 16√-163,-42 - 16√-163
-41.0,16.0,43409,2.548,0,0,0,2,(6.5 + 0.5√-163) (12.5 + 1.5√-163),1,-41 + 16√-163,41 - 16√-163
41.0,16.0,43409,0.594,0,1,0,2,(6.5 - 0.5√-163) (12.5 - 1.5√-163),0,41 + 16√-163,-41 - 16√-163
-40.0,16.0,43328,2.536,0,1,2,2,(2)³ (5 - 2√-163),1,-40 + 16√-163,40 - 16√-163
40.0,16.0,43328,0.606,0,0,2,2,(2)³ (5 + 2√-163),0,40 + 16√-163,-40 - 16√-163
-39.0,16.0,43249,2.524,0,0,0,2,(4.5 + 0.5√-163) (18.5 + 1.5√-163),1,-39 + 16√-163,39 - 16√-163
39.0,16.0,43249,0.618,0,1,0,2,(4.5 - 0.5√-163) (18.5 - 1.5√-163),0,39 + 16√-163,-39 - 16√-163
-38.0,16.0,43172,2.512,0,0,0,3,(2) (1.5 + 0.5√-163) (14.5 + 0.5√-163),1,-38 + 16√-163,38 - 16√-163
38.0,16.0,43172,0.63,0,1,0,3,(2) (1.5 - 0.5√-163) (14.5 - 0.5√-163),0,38 + 16√-163,-38 - 16√-163
-37.0,16.0,43097,2.499,0,0,0,2,(5.5 + 0.5√-163) (15.5 + 1.5√-163),1,-37 + 16√-163,37 - 16√-163
37.0,16.0,43097,0.643,0,1,0,2,(5.5 - 0.5√-163) (15.5 - 1.5√-163),0,37 + 16√-163,-37 - 16√-163
-36.0,16.0,43024,2.486,0,1,1,2,(2)² (9 - 4√-163),1,-36 + 16√-163,36 - 16√-163
36.0,16.0,43024,0.656,0,0,1,2,(2)² (9 + 4√-163),0,36 + 16√-163,-36 - 16√-163
-35.0,16.0,42953,2.472,1,0,0,1,'(35 - 16√-163),1,-35 + 16√-163,35 - 16√-163
35.0,16.0,42953,0.67,1,0,0,1,'(35 + 16√-163),0,35 + 16√-163,-35 - 16√-163
-34.0,16.0,42884,2.458,0,1,0,3,(2) (5.5 - 0.5√-163) (10.5 - 0.5√-163),1,-34 + 16√-163,34 - 16√-163
