Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
1,0,1,0.0,0,0,0,0,,0,1,-1
12.5,1.5,1,0.205,0,2,0,0,,2,12.5 + 1.5√69,-12.5 - 1.5√69
-12.5,1.5,1,2.937,0,4,0,0,,2,-12.5 + 1.5√69,12.5 - 1.5√69
4.5,0.5,3,0.19,1,0,0,0,'(4.5 + 0.5√69),2,4.5 + 0.5√69,-4.5 - 0.5√69,4.5 + 0.5√69
-4.5,0.5,3,2.951,1,4,0,1,(4.5 + 0.5√69),2,-4.5 + 0.5√69,4.5 - 0.5√69,4.5 + 0.5√69
2,0,4,0.0,1,0,0,0,'(2),2,2,-2,2
25.0,3.0,4,0.205,1,2,0,1,(2),2,25 + 3√69,-25 - 3√69,2
-25.0,3.0,4,2.937,1,4,0,1,(2),2,-25 + 3√69,25 - 3√69,2
3.5,0.5,-5,0.243,1,0,0,0,'(3.5 + 0.5√69),2,3.5 + 0.5√69,-3.5 - 0.5√69,3.5 + 0.5√69
-3.5,0.5,-5,2.899,1,1,0,0,'(3.5 - 0.5√69),2,-3.5 + 0.5√69,3.5 - 0.5√69,3.5 - 0.5√69
8.0,1.0,-5,0.213,1,2,0,1,(3.5 - 0.5√69),2,8 + √69,-8 - √69,3.5 - 0.5√69
-8.0,1.0,-5,2.928,1,5,0,1,(3.5 + 0.5√69),2,-8 + √69,8 - √69,3.5 + 0.5√69
3,0,9,0.0,0,5,1,1,(4.5 + 0.5√69)²,0,3,-3
37.5,4.5,9,0.205,0,0,1,1,(4.5 + 0.5√69)²,0,37.5 + 4.5√69,-37.5 - 4.5√69
-37.5,4.5,9,2.937,0,0,1,1,(4.5 + 0.5√69)²,1,-37.5 + 4.5√69,37.5 - 4.5√69
2.5,0.5,-11,0.333,1,0,0,0,'(2.5 + 0.5√69),2,2.5 + 0.5√69,-2.5 - 0.5√69,2.5 + 0.5√69
-2.5,0.5,-11,2.808,1,1,0,0,'(2.5 - 0.5√69),2,-2.5 + 0.5√69,2.5 - 0.5√69,2.5 - 0.5√69
20.5,2.5,-11,0.208,1,2,0,1,(2.5 - 0.5√69),2,20.5 + 2.5√69,-20.5 - 2.5√69,2.5 - 0.5√69
-20.5,2.5,-11,2.933,1,5,0,1,(2.5 + 0.5√69),2,-20.5 + 2.5√69,20.5 - 2.5√69,2.5 + 0.5√69
9.0,1.0,12,0.19,0,0,0,2,(4.5 + 0.5√69) (2),0,9 + √69,-9 - √69
-9.0,1.0,12,2.951,0,4,0,2,(4.5 + 0.5√69) (2),1,-9 + √69,9 - √69
5.5,0.5,13,0.156,1,0,0,0,'(5.5 + 0.5√69),2,5.5 + 0.5√69,-5.5 - 0.5√69,5.5 + 0.5√69
-5.5,0.5,13,2.985,1,1,0,0,'(5.5 - 0.5√69),2,-5.5 + 0.5√69,5.5 - 0.5√69,5.5 - 0.5√69
17.0,2.0,13,0.201,1,3,0,1,(5.5 - 0.5√69),2,17 + 2√69,-17 - 2√69,5.5 - 0.5√69
-17.0,2.0,13,2.941,1,4,0,1,(5.5 + 0.5√69),2,-17 + 2√69,17 - 2√69,5.5 + 0.5√69
1.5,0.5,-15,0.524,0,0,0,2,(4.5 + 0.5√69) (3.5 - 0.5√69),0,1.5 + 0.5√69,-1.5 - 0.5√69
-1.5,0.5,-15,2.618,0,5,0,2,(4.5 + 0.5√69) (3.5 + 0.5√69),1,-1.5 + 0.5√69,1.5 - 0.5√69
33.0,4.0,-15,0.207,0,0,0,2,(4.5 + 0.5√69) (3.5 + 0.5√69),0,33 + 4√69,-33 - 4√69
-33.0,4.0,-15,2.935,0,5,0,2,(4.5 + 0.5√69) (3.5 - 0.5√69),1,-33 + 4√69,33 - 4√69
4,0,16,0.0,0,0,1,1,(2)²,0,4,-4
50.0,6.0,16,0.205,0,2,1,1,(2)²,0,50 + 6√69,-50 - 6√69
-50.0,6.0,16,2.937,0,4,1,1,(2)²,1,-50 + 6√69,50 - 6√69
0.5,0.5,-17,1.047,1,0,0,0,'(0.5 + 0.5√69),2,0.5 + 0.5√69,-0.5 - 0.5√69,0.5 + 0.5√69
-0.5,0.5,-17,2.094,1,1,0,0,'(0.5 - 0.5√69),2,-0.5 + 0.5√69,0.5 - 0.5√69,0.5 - 0.5√69
45.5,5.5,-17,0.206,1,2,0,1,(0.5 - 0.5√69),2,45.5 + 5.5√69,-45.5 - 5.5√69,0.5 - 0.5√69
-45.5,5.5,-17,2.935,1,5,0,1,(0.5 + 0.5√69),2,-45.5 + 5.5√69,45.5 - 5.5√69,0.5 + 0.5√69
7.0,1.0,-20,0.243,0,0,0,2,(2) (3.5 + 0.5√69),0,7 + √69,-7 - √69
-7.0,1.0,-20,2.899,0,0,0,2,(2) (3.5 - 0.5√69),1,-7 + √69,7 - √69
16.0,2.0,-20,0.213,0,2,0,2,(2) (3.5 - 0.5√69),0,16 + 2√69,-16 - 2√69
