Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,27,3958,2.647,0,0,0,2,(√-2) (27 + 25√-2),1,-50 + 27√-2,50 - 27√-2
50.0,27,3958,0.495,0,0,0,2,(√-2) (27 - 25√-2),0,50 + 27√-2,-50 - 27√-2
-49.0,27,3859,2.638,0,1,0,2,(3 - 2√-2) (15 + √-2),1,-49 + 27√-2,49 - 27√-2
49.0,27,3859,0.504,0,0,0,2,(3 + 2√-2) (15 - √-2),0,49 + 27√-2,-49 - 27√-2
-50.0,26,3852,2.662,0,0,2,3,(√-2)² (1 - √-2)² (3 + 7√-2),1,-50 + 26√-2,50 - 26√-2
50.0,26,3852,0.48,0,1,2,3,(√-2)² (1 + √-2)² (3 - 7√-2),0,50 + 26√-2,-50 - 26√-2
-48.0,27,3762,2.63,0,0,1,5,(√-2) (1 + √-2) (1 - √-2) (3 - √-2) (1 + 3√-2),1,-48 + 27√-2,48 - 27√-2
48.0,27,3762,0.512,0,0,1,5,(√-2) (1 + √-2) (1 - √-2) (3 + √-2) (1 - 3√-2),0,48 + 27√-2,-48 - 27√-2
-49.0,26,3753,2.654,0,0,2,2,(1 + √-2)³ (11 - 3√-2),1,-49 + 26√-2,49 - 26√-2
49.0,26,3753,0.488,0,1,2,2,(1 - √-2)³ (11 + 3√-2),0,49 + 26√-2,-49 - 26√-2
-50.0,25,3750,2.678,0,0,1,3,(√-2) (1 + √-2) (5)²,1,-50 + 25√-2,50 - 25√-2
50.0,25,3750,0.464,0,0,1,3,(√-2) (1 - √-2) (5)²,0,50 + 25√-2,-50 - 25√-2
-47.0,27,3667,2.621,0,1,0,2,(1 - 3√-2) (11 + 6√-2),1,-47 + 27√-2,47 - 27√-2
47.0,27,3667,0.521,0,0,0,2,(1 + 3√-2) (11 - 6√-2),0,47 + 27√-2,-47 - 27√-2
-48.0,26,3656,2.646,0,1,2,2,(√-2)³ (13 + 12√-2),1,-48 + 26√-2,48 - 26√-2
48.0,26,3656,0.496,0,1,2,2,(√-2)³ (13 - 12√-2),0,48 + 26√-2,-48 - 26√-2
-49.0,25,3651,2.67,0,1,0,2,(1 - √-2) (33 + 8√-2),1,-49 + 25√-2,49 - 25√-2
49.0,25,3651,0.472,0,0,0,2,(1 + √-2) (33 - 8√-2),0,49 + 25√-2,-49 - 25√-2
-50.0,24,3652,2.694,0,0,1,3,(√-2)² (3 - √-2) (9 - √-2),1,-50 + 24√-2,50 - 24√-2
50.0,24,3652,0.448,0,1,1,3,(√-2)² (3 + √-2) (9 + √-2),0,50 + 24√-2,-50 - 24√-2
-46.0,27,3574,2.611,0,0,0,2,(√-2) (27 + 23√-2),1,-46 + 27√-2,46 - 27√-2
46.0,27,3574,0.531,0,0,0,2,(√-2) (27 - 23√-2),0,46 + 27√-2,-46 - 27√-2
-45.0,27,3483,2.602,0,1,3,3,(1 + √-2)² (1 - √-2)² (5 - 3√-2),1,-45 + 27√-2,45 - 27√-2
45.0,27,3483,0.54,0,0,3,3,(1 + √-2)² (1 - √-2)² (5 + 3√-2),0,45 + 27√-2,-45 - 27√-2
-47.0,26,3561,2.637,0,1,0,2,(1 - √-2) (33 + 7√-2),1,-47 + 26√-2,47 - 26√-2
47.0,26,3561,0.505,0,0,0,2,(1 + √-2) (33 - 7√-2),0,47 + 26√-2,-47 - 26√-2
-48.0,25,3554,2.662,0,0,0,2,(√-2) (25 + 24√-2),1,-48 + 25√-2,48 - 25√-2
48.0,25,3554,0.48,0,0,0,2,(√-2) (25 - 24√-2),0,48 + 25√-2,-48 - 25√-2
-49.0,24,3553,2.687,0,0,0,3,(3 + √-2) (3 + 2√-2) (1 + 3√-2),1,-49 + 24√-2,49 - 24√-2
49.0,24,3553,0.455,0,1,0,3,(3 - √-2) (3 - 2√-2) (1 - 3√-2),0,49 + 24√-2,-49 - 24√-2
-50.0,23,3558,2.711,0,1,0,3,(√-2) (1 - √-2) (9 - 16√-2),1,-50 + 23√-2,50 - 23√-2
50.0,23,3558,0.431,0,1,0,3,(√-2) (1 + √-2) (9 + 16√-2),0,50 + 23√-2,-50 - 23√-2
-44.0,27,3394,2.592,0,0,0,2,(√-2) (27 + 22√-2),1,-44 + 27√-2,44 - 27√-2
44.0,27,3394,0.55,0,0,0,2,(√-2) (27 - 22√-2),0,44 + 27√-2,-44 - 27√-2
-46.0,26,3468,2.628,0,1,2,3,(√-2)² (1 + √-2) (3 + 2√-2)²,1,-46 + 26√-2,46 - 26√-2
46.0,26,3468,0.514,0,0,2,3,(√-2)² (1 - √-2) (3 - 2√-2)²,0,46 + 26√-2,-46 - 26√-2
-45.0,26,3377,2.618,0,1,0,2,(3 - √-2) (17 - 3√-2),1,-45 + 26√-2,45 - 26√-2
45.0,26,3377,0.524,0,0,0,2,(3 + √-2) (17 + 3√-2),0,45 + 26√-2,-45 - 26√-2
-47.0,25,3459,2.653,0,0,0,2,(1 + √-2) (1 + 24√-2),1,-47 + 25√-2,47 - 25√-2
47.0,25,3459,0.489,0,1,0,2,(1 - √-2) (1 - 24√-2),0,47 + 25√-2,-47 - 25√-2
-46.0,25,3366,2.644,0,1,1,4,(√-2) (1 - √-2)² (3 + √-2) (3 - 2√-2),1,-46 + 25√-2,46 - 25√-2
46.0,25,3366,0.498,0,1,1,4,(√-2) (1 + √-2)² (3 - √-2) (3 + 2√-2),0,46 + 25√-2,-46 - 25√-2
-48.0,24,3456,2.678,0,1,8,3,(√-2)⁷ (1 + √-2)² (1 - √-2),1,-48 + 24√-2,48 - 24√-2
48.0,24,3456,0.464,0,1,8,3,(√-2)⁷ (1 + √-2) (1 - √-2)²,0,48 + 24√-2,-48 - 24√-2
-49.0,23,3459,2.703,0,1,0,2,(1 + √-2) (1 - 24√-2),1,-49 + 23√-2,49 - 23√-2
49.0,23,3459,0.439,0,0,0,2,(1 - √-2) (1 + 24√-2),0,49 + 23√-2,-49 - 23√-2
-50.0,22,3468,2.727,0,0,2,3,(√-2)² (1 + √-2) (3 - 2√-2)²,1,-50 + 22√-2,50 - 22√-2
50.0,22,3468,0.415,0,1,2,3,(√-2)² (1 - √-2) (3 + 2√-2)²,0,50 + 22√-2,-50 - 22√-2
