Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,5316,2.636,0,0,0,3,(0.5 + 0.5√-11) (2) (10.5 + 5.5√-11),1,-50 + 16√-11,50 - 16√-11
50.0,16.0,5316,0.506,0,1,0,3,(0.5 - 0.5√-11) (2) (10.5 - 5.5√-11),0,50 + 16√-11,-50 - 16√-11
-49.0,16.0,5217,2.627,0,1,0,3,(0.5 - 0.5√-11) (6 - √-11) (3.5 + 1.5√-11),1,-49 + 16√-11,49 - 16√-11
49.0,16.0,5217,0.515,0,0,0,3,(0.5 + 0.5√-11) (6 + √-11) (3.5 - 1.5√-11),0,49 + 16√-11,-49 - 16√-11
-48.0,16.0,5120,2.618,0,1,4,2,(2)⁵ (1.5 - 0.5√-11),1,-48 + 16√-11,48 - 16√-11
48.0,16.0,5120,0.524,0,0,4,2,(2)⁵ (1.5 + 0.5√-11),0,48 + 16√-11,-48 - 16√-11
-49.5,15.5,5093,2.645,0,0,0,2,(√-11) (15.5 + 4.5√-11),1,-49.5 + 15.5√-11,49.5 - 15.5√-11
49.5,15.5,5093,0.497,0,0,0,2,(√-11) (15.5 - 4.5√-11),0,49.5 + 15.5√-11,-49.5 - 15.5√-11
-47.0,16.0,5025,2.609,0,0,1,3,(0.5 + 0.5√-11) (1.5 + 0.5√-11)² (6.5 - 1.5√-11),1,-47 + 16√-11,47 - 16√-11
47.0,16.0,5025,0.533,0,1,1,3,(0.5 - 0.5√-11) (1.5 - 0.5√-11)² (6.5 + 1.5√-11),0,47 + 16√-11,-47 - 16√-11
-46.0,16.0,4932,2.6,0,0,1,3,(0.5 - 0.5√-11)² (2) (1.5 - 3.5√-11),1,-46 + 16√-11,46 - 16√-11
46.0,16.0,4932,0.542,0,1,1,3,(0.5 + 0.5√-11)² (2) (1.5 + 3.5√-11),0,46 + 16√-11,-46 - 16√-11
-48.5,15.5,4995,2.636,0,0,2,3,(0.5 - 0.5√-11)³ (1.5 + 0.5√-11) (3.5 - 1.5√-11),1,-48.5 + 15.5√-11,48.5 - 15.5√-11
48.5,15.5,4995,0.506,0,1,2,3,(0.5 + 0.5√-11)³ (1.5 - 0.5√-11) (3.5 + 1.5√-11),0,48.5 + 15.5√-11,-48.5 - 15.5√-11
-50.0,15.0,4975,2.663,0,1,1,3,(1.5 + 0.5√-11) (1.5 - 0.5√-11) (10 - 3√-11),1,-50 + 15√-11,50 - 15√-11
50.0,15.0,4975,0.479,0,0,1,3,(1.5 + 0.5√-11) (1.5 - 0.5√-11) (10 + 3√-11),0,50 + 15√-11,-50 - 15√-11
-45.0,16.0,4841,2.59,0,1,0,2,(6 + √-11) (2 - 3√-11),1,-45 + 16√-11,45 - 16√-11
45.0,16.0,4841,0.552,0,0,0,2,(6 - √-11) (2 + 3√-11),0,45 + 16√-11,-45 - 16√-11
-47.5,15.5,4899,2.628,0,0,0,3,(0.5 + 0.5√-11) (4.5 - 0.5√-11) (1.5 + 2.5√-11),1,-47.5 + 15.5√-11,47.5 - 15.5√-11
47.5,15.5,4899,0.514,0,1,0,3,(0.5 - 0.5√-11) (4.5 + 0.5√-11) (1.5 - 2.5√-11),0,47.5 + 15.5√-11,-47.5 - 15.5√-11
-46.5,15.5,4805,2.618,0,1,1,3,(1.5 - 0.5√-11) (2.5 + 1.5√-11) (2.5 - 1.5√-11),1,-46.5 + 15.5√-11,46.5 - 15.5√-11
46.5,15.5,4805,0.524,0,0,1,3,(1.5 + 0.5√-11) (2.5 + 1.5√-11) (2.5 - 1.5√-11),0,46.5 + 15.5√-11,-46.5 - 15.5√-11
-49.0,15.0,4876,2.654,0,1,0,3,(2) (4.5 + 0.5√-11) (3 - 2√-11),1,-49 + 15√-11,49 - 15√-11
49.0,15.0,4876,0.488,0,0,0,3,(2) (4.5 - 0.5√-11) (3 + 2√-11),0,49 + 15√-11,-49 - 15√-11
-48.0,15.0,4779,2.646,0,0,3,3,(0.5 + 0.5√-11)³ (0.5 - 0.5√-11) (7.5 - 0.5√-11),1,-48 + 15√-11,48 - 15√-11
48.0,15.0,4779,0.496,0,1,3,3,(0.5 + 0.5√-11) (0.5 - 0.5√-11)³ (7.5 + 0.5√-11),0,48 + 15√-11,-48 - 15√-11
-49.5,14.5,4763,2.672,0,0,0,2,(√-11) (14.5 + 4.5√-11),1,-49.5 + 14.5√-11,49.5 - 14.5√-11
49.5,14.5,4763,0.47,0,0,0,2,(√-11) (14.5 - 4.5√-11),0,49.5 + 14.5√-11,-49.5 - 14.5√-11
-44.0,16.0,4752,2.58,0,1,3,3,(0.5 + 0.5√-11)³ (2)² (√-11),1,-44 + 16√-11,44 - 16√-11
44.0,16.0,4752,0.562,0,1,3,3,(0.5 - 0.5√-11)³ (2)² (√-11),0,44 + 16√-11,-44 - 16√-11
-43.0,16.0,4665,2.57,0,1,0,3,(0.5 - 0.5√-11) (1.5 - 0.5√-11) (6 + 5√-11),1,-43 + 16√-11,43 - 16√-11
43.0,16.0,4665,0.572,0,0,0,3,(0.5 + 0.5√-11) (1.5 + 0.5√-11) (6 - 5√-11),0,43 + 16√-11,-43 - 16√-11
-45.5,15.5,4713,2.609,0,1,0,2,(0.5 - 0.5√-11) (36 + 5√-11),1,-45.5 + 15.5√-11,45.5 - 15.5√-11
45.5,15.5,4713,0.533,0,0,0,2,(0.5 + 0.5√-11) (36 - 5√-11),0,45.5 + 15.5√-11,-45.5 - 15.5√-11
-47.0,15.0,4684,2.637,0,1,0,2,(2) (23.5 - 7.5√-11),1,-47 + 15√-11,47 - 15√-11
47.0,15.0,4684,0.505,0,0,0,2,(2) (23.5 + 7.5√-11),0,47 + 15√-11,-47 - 15√-11
-48.5,14.5,4665,2.664,0,1,0,3,(0.5 + 0.5√-11) (1.5 - 0.5√-11) (6 - 5√-11),1,-48.5 + 14.5√-11,48.5 - 14.5√-11
48.5,14.5,4665,0.478,0,0,0,3,(0.5 - 0.5√-11) (1.5 + 0.5√-11) (6 + 5√-11),0,48.5 + 14.5√-11,-48.5 - 14.5√-11
-50.0,14.0,4656,2.69,0,1,1,3,(0.5 - 0.5√-11) (2)² (8.5 + 1.5√-11),1,-50 + 14√-11,50 - 14√-11
50.0,14.0,4656,0.452,0,0,1,3,(0.5 + 0.5√-11) (2)² (8.5 - 1.5√-11),0,50 + 14√-11,-50 - 14√-11
