Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
1,0,1,0.0,0,0,0,0,,0,1,-1
6.0,1.0,-1,0.281,0,2,0,0,,2,6 + √37,-6 - √37
-6.0,1.0,-1,2.861,0,4,0,0,,2,-6 + √37,6 - √37
2.5,0.5,-3,0.333,1,0,0,0,'(2.5 + 0.5√37),2,2.5 + 0.5√37,-2.5 - 0.5√37,2.5 + 0.5√37
-2.5,0.5,-3,2.808,1,1,0,0,'(2.5 - 0.5√37),2,-2.5 + 0.5√37,2.5 - 0.5√37,2.5 - 0.5√37
3.5,0.5,3,0.243,1,2,0,1,(2.5 - 0.5√37),2,3.5 + 0.5√37,-3.5 - 0.5√37,2.5 - 0.5√37
-3.5,0.5,3,2.899,1,5,0,1,(2.5 + 0.5√37),2,-3.5 + 0.5√37,3.5 - 0.5√37,2.5 + 0.5√37
33.5,5.5,3,0.277,1,2,0,1,(2.5 + 0.5√37),2,33.5 + 5.5√37,-33.5 - 5.5√37,2.5 + 0.5√37
-33.5,5.5,3,2.865,1,5,0,1,(2.5 - 0.5√37),2,-33.5 + 5.5√37,33.5 - 5.5√37,2.5 - 0.5√37
39.5,6.5,-3,0.278,1,0,0,1,(2.5 - 0.5√37),2,39.5 + 6.5√37,-39.5 - 6.5√37,2.5 - 0.5√37
-39.5,6.5,-3,2.864,1,0,0,1,(2.5 + 0.5√37),2,-39.5 + 6.5√37,39.5 - 6.5√37,2.5 + 0.5√37
2,0,4,0.0,1,0,0,0,'(2),2,2,-2,2
12.0,2.0,-4,0.281,1,2,0,1,(2),2,12 + 2√37,-12 - 2√37,2
-12.0,2.0,-4,2.861,1,4,0,1,(2),2,-12 + 2√37,12 - 2√37,2
1.5,0.5,-7,0.524,1,0,0,0,'(1.5 + 0.5√37),2,1.5 + 0.5√37,-1.5 - 0.5√37,1.5 + 0.5√37
-1.5,0.5,-7,2.618,1,1,0,0,'(1.5 - 0.5√37),2,-1.5 + 0.5√37,1.5 - 0.5√37,1.5 - 0.5√37
9.5,1.5,7,0.267,1,2,0,1,(1.5 - 0.5√37),2,9.5 + 1.5√37,-9.5 - 1.5√37,1.5 - 0.5√37
-9.5,1.5,7,2.875,1,5,0,1,(1.5 + 0.5√37),2,-9.5 + 1.5√37,9.5 - 1.5√37,1.5 + 0.5√37
27.5,4.5,7,0.276,1,2,0,1,(1.5 + 0.5√37),2,27.5 + 4.5√37,-27.5 - 4.5√37,1.5 + 0.5√37
-27.5,4.5,7,2.865,1,5,0,1,(1.5 - 0.5√37),2,-27.5 + 4.5√37,27.5 - 4.5√37,1.5 - 0.5√37
0.5,0.5,-9,1.047,0,2,1,1,(2.5 - 0.5√37)²,0,0.5 + 0.5√37,-0.5 - 0.5√37
-0.5,0.5,-9,2.094,0,4,1,1,(2.5 + 0.5√37)²,1,-0.5 + 0.5√37,0.5 - 0.5√37
3,0,9,0.0,0,0,1,2,(2.5 + 0.5√37) (2.5 - 0.5√37),0,3,-3
15.5,2.5,9,0.272,0,0,1,1,(2.5 + 0.5√37)²,0,15.5 + 2.5√37,-15.5 - 2.5√37
-15.5,2.5,9,2.869,0,1,1,1,(2.5 - 0.5√37)²,1,-15.5 + 2.5√37,15.5 - 2.5√37
18.0,3.0,-9,0.281,0,2,1,2,(2.5 + 0.5√37) (2.5 - 0.5√37),0,18 + 3√37,-18 - 3√37
-18.0,3.0,-9,2.861,0,4,1,2,(2.5 + 0.5√37) (2.5 - 0.5√37),1,-18 + 3√37,18 - 3√37
21.5,3.5,9,0.275,0,0,1,1,(2.5 - 0.5√37)²,0,21.5 + 3.5√37,-21.5 - 3.5√37
-21.5,3.5,9,2.867,0,0,1,1,(2.5 + 0.5√37)²,1,-21.5 + 3.5√37,21.5 - 3.5√37
4.5,0.5,11,0.19,1,0,0,0,'(4.5 + 0.5√37),2,4.5 + 0.5√37,-4.5 - 0.5√37,4.5 + 0.5√37
-4.5,0.5,11,2.951,1,1,0,0,'(4.5 - 0.5√37),2,-4.5 + 0.5√37,4.5 - 0.5√37,4.5 - 0.5√37
8.5,1.5,-11,0.297,1,3,0,1,(4.5 - 0.5√37),2,8.5 + 1.5√37,-8.5 - 1.5√37,4.5 - 0.5√37
-8.5,1.5,-11,2.845,1,4,0,1,(4.5 + 0.5√37),2,-8.5 + 1.5√37,8.5 - 1.5√37,4.5 + 0.5√37
45.5,7.5,-11,0.278,1,2,0,1,(4.5 + 0.5√37),2,45.5 + 7.5√37,-45.5 - 7.5√37,4.5 + 0.5√37
-45.5,7.5,-11,2.863,1,5,0,1,(4.5 - 0.5√37),2,-45.5 + 7.5√37,45.5 - 7.5√37,4.5 - 0.5√37
5.0,1.0,-12,0.333,0,0,0,2,(2.5 + 0.5√37) (2),0,5 + √37,-5 - √37
-5.0,1.0,-12,2.808,0,0,0,2,(2.5 - 0.5√37) (2),1,-5 + √37,5 - √37
7.0,1.0,12,0.243,0,2,0,2,(2.5 - 0.5√37) (2),0,7 + √37,-7 - √37
