group_id,word,replacement
C₁,a,
C₂,aa,
C₃,aaa,
C₄,aaaa,
C₂×C₂,bb,
C₂×C₂,aa,
C₂×C₂,ba,ab
C₅,aaaaa,
C₆,aaaaaa,
D₆,ff,
D₆,rrr,
D₆,fr,rrf
C₇,aaaaaaa,
C₈,aaaaaaaa,
D₈,ff,
D₈,rrrr,
D₈,fr,rrrf
Q₈,jj,ii
Q₈,iiii,
Q₈,ji,iiij
C₄×C₂,bb,
C₄×C₂,aaaa,
C₄×C₂,ba,ab
C₂³,cc,
C₂³,bb,
C₂³,aa,
C₂³,ba,ab
C₂³,cb,bc
C₂³,ca,ac
C₉,aaaaaaaaa,
C₃×C₃,bbb,
C₃×C₃,aaa,
C₃×C₃,ba,ab
C₁₀,aaaaaaaaaa,
D₁₀,ff,
D₁₀,rrrrr,
D₁₀,fr,rrrrf
C₁₁,aaaaaaaaaaa,
C₁₂,aaaaaaaaaaaa,
C₆×C₂,bb,
C₆×C₂,aaaaaa,
C₆×C₂,ba,ab
D₁₂,ff,
D₁₂,rrrrrr,
D₁₂,fr,rrrrrf
Q₁₂,jj,ζζζ
Q₁₂,ζζζζζζ,
Q₁₂,jζ,ζζζζζj
A₄,ccc,
A₄,bb,
A₄,aa,
A₄,ba,ab
A₄,ca,abc
A₄,cb,ac
C₁₃,aaaaaaaaaaaaa,
C₁₄,aaaaaaaaaaaaaa,
D₁₄,ff,
D₁₄,rrrrrrr,
D₁₄,fr,rrrrrrf
C₁₅,aaaaaaaaaaaaaaa,
C₁₆,aaaaaaaaaaaaaaaa,
C₈×C₂,bb,
C₈×C₂,aaaaaaaa,
C₈×C₂,ba,ab
C₄×C₄,bbbb,
C₄×C₄,aaaa,
C₄×C₄,ba,ab
C₄×C₂²,cc,
C₄×C₂²,bb,
C₄×C₂²,aaaa,
C₄×C₂²,ba,ab
C₄×C₂²,cb,bc
C₄×C₂²,ca,ac
C₂⁴,dd,
C₂⁴,cc,
C₂⁴,bb,
C₂⁴,aa,
C₂⁴,ba,ab
C₂⁴,cb,bc
C₂⁴,ca,ac
C₂⁴,da,ad
C₂⁴,db,bd
C₂⁴,dc,cd
D₁₆,ff,
D₁₆,rrrrrrrr,
D₁₆,fr,rrrrrrrf
Q₁₆,jj,ζζζζ
Q₁₆,ζζζζζζζζ,
Q₁₆,jζ,ζζζζζζζj
D₈×C₂,aa,
D₈×C₂,ff,
D₈×C₂,rrrr,
D₈×C₂,fr,rrrf
D₈×C₂,af,fa
D₈×C₂,ar,ra
Q₈×C₂,aa,
Q₈×C₂,jj,ii
Q₈×C₂,iiii,
Q₈×C₂,ji,iiij
Q₈×C₂,aj,ja
Q₈×C₂,ai,ia
C₈⋊³C₂,bb,
C₈⋊³C₂,aaaaaaaa,
C₈⋊³C₂,ba,aaab
C₈⋊⁵C₂,bb,
C₈⋊⁵C₂,aaaaaaaa,
C₈⋊⁵C₂,ba,aaaaab
C₄⋊C₄,bbbb,
C₄⋊C₄,aaaa,
C₄⋊C₄,ba,aaab
C₂²⋊C₄,cccc,
C₂²⋊C₄,bb,
C₂²⋊C₄,aa,
C₂²⋊C₄,ba,ab
C₂²⋊C₄,ca,bc
C₂²⋊C₄,cb,ac
Q₈⋊C₂,aa,
Q₈⋊C₂,jj,ii
Q₈⋊C₂,iiii,
Q₈⋊C₂,ji,iiij
Q₈⋊C₂,ai,iiia
Q₈⋊C₂,aj,ja
